StateName,state_id,DistrictName,DISTRICT_ID,TotalNoOfApplication,TotalNoOf_Micro,TotalNoOf_Small,TotalNoOf_Medium,_CreatedDate
"ANDHRA PRADESH",28,ANANTHAPUR,520,9826,8358,1428,40,NA
"ANDHRA PRADESH",28,CHITOOR,511,19524,16784,2652,88,NA
"ANDHRA PRADESH",28,"EAST GODAVARI",512,13885,10460,3329,96,NA
"ANDHRA PRADESH",28,GUNTUR,509,14853,10319,4388,146,NA
"ANDHRA PRADESH",28,KRISHNA,517,13545,8183,5228,134,NA
"ANDHRA PRADESH",28,KURNOOL,506,9739,7880,1800,59,NA
"ANDHRA PRADESH",28,PRAKASAM,510,32920,30584,2306,30,NA
"ANDHRA PRADESH",28,"SPSR NELLORE",518,48558,46343,2164,51,NA
"ANDHRA PRADESH",28,SRIKAKULAM,522,3802,3095,685,22,NA
"ANDHRA PRADESH",28,VISAKHAPATNAM,519,17428,11754,5472,202,NA
"ANDHRA PRADESH",28,VIZIANAGARAM,513,12831,12232,579,20,NA
"ANDHRA PRADESH",28,"WEST GODAVARI",505,18561,16739,1783,39,NA
"ANDHRA PRADESH",28,Y.S.R,503,33379,31565,1750,64,NA
"ARUNACHAL PRADESH",12,ANJAW,628,11,10,1,0,NA
"ARUNACHAL PRADESH",12,CHANGLANG,269,36,28,6,2,NA
"ARUNACHAL PRADESH",12,"DIBANG VALLEY",267,11,9,2,0,NA
"ARUNACHAL PRADESH",12,"EAST KAMENG",260,16,10,6,0,NA
"ARUNACHAL PRADESH",12,"EAST SIANG",265,47,26,11,10,NA
"ARUNACHAL PRADESH",12,"KRA DAADI",722,1,1,0,0,NA
"ARUNACHAL PRADESH",12,"KURUNG KUMEY",631,11,6,3,2,NA
"ARUNACHAL PRADESH",12,LOHIT,268,53,44,9,0,NA
"ARUNACHAL PRADESH",12,LONGDING,630,3,3,0,0,NA
"ARUNACHAL PRADESH",12,"LOWER DIBANG VALLEY",629,52,33,15,4,NA
"ARUNACHAL PRADESH",12,"LOWER SUBANSIRI",262,65,41,23,1,NA
"ARUNACHAL PRADESH",12,"PAPUM PARE",261,418,185,202,31,NA
"ARUNACHAL PRADESH",12,TAWANG,258,13,8,5,0,NA
"ARUNACHAL PRADESH",12,TIRAP,270,8,6,2,0,NA
"ARUNACHAL PRADESH",12,"UPPER SIANG",266,10,3,7,0,NA
"ARUNACHAL PRADESH",12,"UPPER SUBANSIRI",263,43,31,12,0,NA
"ARUNACHAL PRADESH",12,"WEST KAMENG",259,45,20,21,4,NA
"ARUNACHAL PRADESH",12,"WEST SIANG",264,46,30,13,3,NA
ASSAM,18,BAKSA,651,143,132,11,0,NA
ASSAM,18,BARPETA,311,466,393,72,1,NA
ASSAM,18,Biswanath,725,47,42,4,1,NA
ASSAM,18,BONGAIGAON,310,240,183,51,6,NA
ASSAM,18,CACHAR,327,570,448,113,9,NA
ASSAM,18,CHIRANG,652,123,92,27,4,NA
ASSAM,18,DARRANG,314,224,184,39,1,NA
ASSAM,18,DHEMAJI,653,326,261,62,3,NA
ASSAM,18,DHUBRI,308,321,290,28,3,NA
ASSAM,18,DIBRUGARH,321,849,440,400,9,NA
ASSAM,18,"DIMA HASAO",654,28,19,8,1,NA
ASSAM,18,GOALPARA,309,248,216,30,2,NA
ASSAM,18,GOLAGHAT,324,607,460,146,1,NA
ASSAM,18,HAILAKANDI,329,154,133,20,1,NA
ASSAM,18,HOJAI,727,1,1,0,0,NA
ASSAM,18,JORHAT,323,322,240,71,11,NA
ASSAM,18,KAMRUP,312,946,702,218,26,NA
ASSAM,18,"KAMRUP METRO",319,3036,1938,1020,78,NA
ASSAM,18,KARBI-ANGELONG,325,206,173,31,2,NA
ASSAM,18,KARIMGANJ,328,311,275,36,0,NA
ASSAM,18,KOKRAJHAR,307,170,123,46,1,NA
ASSAM,18,LAKHIMPUR,318,343,271,68,4,NA
ASSAM,18,MAJULI,728,6,6,0,0,NA
ASSAM,18,MARIGAON,315,170,146,23,1,NA
ASSAM,18,NAGAON,316,881,720,138,23,NA
ASSAM,18,NALBARI,313,167,154,12,1,NA
ASSAM,18,SIVASAGAR,322,429,243,179,7,NA
ASSAM,18,SONITPUR,317,609,461,135,13,NA
ASSAM,18,TINSUKIA,320,607,452,150,5,NA
ASSAM,18,UDALGURI,326,167,147,20,0,NA
ASSAM,18,"WEST KARBI ANGLONG",730,1,0,1,0,NA
BIHAR,10,ARARIA,223,38619,38256,352,11,NA
BIHAR,10,ARWAL,613,1921,1820,100,1,NA
BIHAR,10,AURANGABAD,250,3707,3242,458,7,NA
BIHAR,10,BANKA,239,9804,9532,271,1,NA
BIHAR,10,BEGUSARAI,236,22466,21189,1244,33,NA
BIHAR,10,BHAGALPUR,238,16183,15245,929,9,NA
BIHAR,10,BHOJPUR,245,4400,3939,441,20,NA
BIHAR,10,BUXAR,246,3749,3518,229,2,NA
BIHAR,10,DARBHANGA,229,33005,32337,654,14,NA
BIHAR,10,GAYA,251,14849,13917,907,25,NA
BIHAR,10,GOPALGANJ,231,6859,6512,340,7,NA
BIHAR,10,JAMUI,253,7453,7127,320,6,NA
BIHAR,10,JEHANABAD,249,2471,2269,201,1,NA
BIHAR,10,"KAIMUR (BHABUA)",247,3853,3563,287,3,NA
BIHAR,10,KATIHAR,226,12131,11605,515,11,NA
BIHAR,10,KHAGARIA,237,10154,9813,337,4,NA
BIHAR,10,KISHANGANJ,224,12196,11996,196,4,NA
BIHAR,10,LAKHISARAI,241,6095,5863,231,1,NA
BIHAR,10,MADHEPURA,227,6212,5831,375,6,NA
BIHAR,10,MADHUBANI,221,19784,19089,673,22,NA
BIHAR,10,MUNGER,240,6145,5897,242,6,NA
BIHAR,10,MUZAFFARPUR,230,55988,54284,1666,38,NA
BIHAR,10,NALANDA,243,15120,14547,555,18,NA
BIHAR,10,NAWADA,252,5137,4848,287,2,NA
BIHAR,10,"PASHCHIM  CHAMPARAN",217,36628,36032,580,16,NA
BIHAR,10,PATNA,244,45974,39255,6598,121,NA
