StateName,state_id,DistrictName,DISTRICT_ID,TotalUAM,General,SC,ST,OBC,_CreatedDate
"ANDHRA PRADESH",28,ANANTHAPUR,520,21193,12088,1485,690,6930,NA
"ANDHRA PRADESH",28,CHITOOR,511,27670,13238,3968,987,9477,NA
"ANDHRA PRADESH",28,"EAST GODAVARI",512,26544,13445,4202,264,8633,NA
"ANDHRA PRADESH",28,GUNTUR,509,25479,16232,2670,924,5653,NA
"ANDHRA PRADESH",28,KRISHNA,517,23231,15845,2343,306,4737,NA
"ANDHRA PRADESH",28,KURNOOL,506,15348,8001,2724,322,4301,NA
"ANDHRA PRADESH",28,PRAKASAM,510,45170,15811,11969,1287,16103,NA
"ANDHRA PRADESH",28,"SPSR NELLORE",518,54059,10953,15648,4523,22935,NA
"ANDHRA PRADESH",28,SRIKAKULAM,522,10894,2441,753,172,7528,NA
"ANDHRA PRADESH",28,VISAKHAPATNAM,519,29070,13734,2093,422,12821,NA
"ANDHRA PRADESH",28,VIZIANAGARAM,513,30186,5283,3613,5247,16043,NA
"ANDHRA PRADESH",28,"WEST GODAVARI",505,33539,17153,4813,355,11218,NA
"ANDHRA PRADESH",28,Y.S.R,503,37500,11710,6493,1279,18018,NA
"ARUNACHAL PRADESH",12,ANJAW,628,3,0,0,3,0,NA
"ARUNACHAL PRADESH",12,CHANGLANG,269,170,48,3,110,9,NA
"ARUNACHAL PRADESH",12,"DIBANG VALLEY",267,18,6,2,3,7,NA
"ARUNACHAL PRADESH",12,"EAST KAMENG",260,25,2,5,16,2,NA
"ARUNACHAL PRADESH",12,"EAST SIANG",265,130,25,7,90,8,NA
"ARUNACHAL PRADESH",12,"KRA DAADI",722,1,0,0,1,0,NA
"ARUNACHAL PRADESH",12,"KURUNG KUMEY",631,22,4,1,17,0,NA
"ARUNACHAL PRADESH",12,LOHIT,268,136,41,4,80,11,NA
"ARUNACHAL PRADESH",12,LONGDING,630,20,6,0,14,0,NA
"ARUNACHAL PRADESH",12,"LOWER DIBANG VALLEY",629,82,17,1,61,3,NA
"ARUNACHAL PRADESH",12,"LOWER SUBANSIRI",262,139,7,1,128,3,NA
"ARUNACHAL PRADESH",12,"PAPUM PARE",261,833,152,14,651,16,NA
"ARUNACHAL PRADESH",12,TAWANG,258,20,11,1,5,3,NA
"ARUNACHAL PRADESH",12,TIRAP,270,14,2,2,10,0,NA
"ARUNACHAL PRADESH",12,"UPPER SIANG",266,14,1,0,13,0,NA
"ARUNACHAL PRADESH",12,"UPPER SUBANSIRI",263,108,6,1,101,0,NA
"ARUNACHAL PRADESH",12,"WEST KAMENG",259,75,18,5,50,2,NA
"ARUNACHAL PRADESH",12,"WEST SIANG",264,159,27,6,124,2,NA
ASSAM,18,BAKSA,651,385,201,17,145,22,NA
ASSAM,18,BARPETA,311,1273,1159,61,9,44,NA
ASSAM,18,Biswanath,725,73,29,1,11,32,NA
ASSAM,18,BONGAIGAON,310,520,349,47,12,112,NA
ASSAM,18,CACHAR,327,1087,763,132,9,183,NA
ASSAM,18,CHIRANG,652,456,108,22,296,30,NA
