StateName,state_id,DistrictName,DISTRICT_ID,TotalUAM,General,SC,ST,OBC,_CreatedDate
"ANDHRA PRADESH",28,ANANTHAPUR,520,11367,7470,334,116,3447,NA
"ANDHRA PRADESH",28,CHITOOR,511,8146,4679,542,72,2853,NA
"ANDHRA PRADESH",28,"EAST GODAVARI",512,12659,6423,2002,96,4138,NA
"ANDHRA PRADESH",28,GUNTUR,509,10626,7391,669,385,2181,NA
"ANDHRA PRADESH",28,KRISHNA,517,9686,6806,761,67,2052,NA
"ANDHRA PRADESH",28,KURNOOL,506,5609,3414,412,57,1726,NA
"ANDHRA PRADESH",28,PRAKASAM,510,12251,6394,2388,303,3166,NA
"ANDHRA PRADESH",28,"SPSR NELLORE",518,5501,2594,684,73,2150,NA
"ANDHRA PRADESH",28,SRIKAKULAM,522,7092,1388,446,82,5176,NA
"ANDHRA PRADESH",28,VISAKHAPATNAM,519,11642,5134,869,144,5495,NA
"ANDHRA PRADESH",28,VIZIANAGARAM,513,17355,1525,2066,3513,10251,NA
"ANDHRA PRADESH",28,"WEST GODAVARI",505,14978,8060,2158,178,4582,NA
"ANDHRA PRADESH",28,Y.S.R,503,4121,2116,297,44,1664,NA
"ARUNACHAL PRADESH",12,ANJAW,628,1,0,0,1,0,NA
"ARUNACHAL PRADESH",12,CHANGLANG,269,134,32,2,96,4,NA
"ARUNACHAL PRADESH",12,"DIBANG VALLEY",267,7,4,0,0,3,NA
"ARUNACHAL PRADESH",12,"EAST KAMENG",260,9,0,2,7,0,NA
"ARUNACHAL PRADESH",12,"EAST SIANG",265,83,12,2,66,3,NA
"ARUNACHAL PRADESH",12,"KURUNG KUMEY",631,11,1,1,9,0,NA
"ARUNACHAL PRADESH",12,LOHIT,268,83,19,3,60,1,NA
"ARUNACHAL PRADESH",12,LONGDING,630,17,4,0,13,0,NA
"ARUNACHAL PRADESH",12,"LOWER DIBANG VALLEY",629,30,4,0,26,0,NA
"ARUNACHAL PRADESH",12,"LOWER SUBANSIRI",262,74,3,1,69,1,NA
"ARUNACHAL PRADESH",12,"PAPUM PARE",261,415,43,4,363,5,NA
"ARUNACHAL PRADESH",12,TAWANG,258,7,3,0,3,1,NA
"ARUNACHAL PRADESH",12,TIRAP,270,6,2,0,4,0,NA
"ARUNACHAL PRADESH",12,"UPPER SIANG",266,4,0,0,4,0,NA
"ARUNACHAL PRADESH",12,"UPPER SUBANSIRI",263,65,3,0,62,0,NA
"ARUNACHAL PRADESH",12,"WEST KAMENG",259,30,4,3,22,1,NA
"ARUNACHAL PRADESH",12,"WEST SIANG",264,113,14,2,95,2,NA
ASSAM,18,BAKSA,651,242,157,9,65,11,NA
ASSAM,18,BARPETA,311,828,758,42,6,22,NA
ASSAM,18,Biswanath,725,26,10,0,3,13,NA
ASSAM,18,BONGAIGAON,310,280,190,26,6,58,NA
ASSAM,18,CACHAR,327,517,348,62,1,106,NA
ASSAM,18,CHIRANG,652,333,45,10,261,17,NA
ASSAM,18,DARRANG,314,574,353,39,19,163,NA
ASSAM,18,DHEMAJI,653,266,38,10,118,100,NA
ASSAM,18,DHUBRI,308,511,415,16,3,77,NA
ASSAM,18,DIBRUGARH,321,450,225,14,44,167,NA
ASSAM,18,"DIMA HASAO",654,55,12,5,30,8,NA
ASSAM,18,GOALPARA,309,265,173,15,36,41,NA
ASSAM,18,GOLAGHAT,324,404,237,21,32,114,NA
ASSAM,18,HAILAKANDI,329,143,115,14,0,14,NA
ASSAM,18,JORHAT,323,331,201,14,40,76,NA
ASSAM,18,KAMRUP,312,1220,908,86,128,98,NA
ASSAM,18,"KAMRUP METRO",319,2688,1847,222,356,263,NA
ASSAM,18,KARBI-ANGELONG,325,218,64,24,84,46,NA
ASSAM,18,KARIMGANJ,328,154,105,24,0,25,NA
ASSAM,18,KOKRAJHAR,307,270,64,7,122,77,NA
ASSAM,18,LAKHIMPUR,318,422,126,29,62,205,NA
ASSAM,18,MAJULI,728,3,1,0,1,1,NA
ASSAM,18,MARIGAON,315,299,186,24,23,66,NA
ASSAM,18,NAGAON,316,1744,990,419,40,295,NA
ASSAM,18,NALBARI,313,538,464,18,5,51,NA
ASSAM,18,SIVASAGAR,322,360,192,14,6,148,NA
ASSAM,18,SONITPUR,317,738,430,46,59,203,NA
ASSAM,18,TINSUKIA,320,608,418,15,19,156,NA
ASSAM,18,UDALGURI,326,274,72,13,154,35,NA
BIHAR,10,ARARIA,223,9051,2167,979,397,5508,NA
BIHAR,10,ARWAL,613,912,233,197,32,450,NA
BIHAR,10,AURANGABAD,250,5311,1070,1282,139,2820,NA
BIHAR,10,BANKA,239,19005,4974,2500,782,10749,NA
BIHAR,10,BEGUSARAI,236,8903,2298,1161,328,5116,NA
BIHAR,10,BHAGALPUR,238,11357,3127,1182,763,6285,NA
BIHAR,10,BHOJPUR,245,6372,1845,1308,145,3074,NA
BIHAR,10,BUXAR,246,5581,1275,1261,216,2829,NA
BIHAR,10,DARBHANGA,229,5738,1548,834,152,3204,NA
BIHAR,10,GAYA,251,8292,1915,1927,248,4202,NA
BIHAR,10,GOPALGANJ,231,3458,1242,356,247,1613,NA
BIHAR,10,JAMUI,253,9277,1445,2586,234,5012,NA
BIHAR,10,JEHANABAD,249,1725,473,340,45,867,NA
BIHAR,10,"KAIMUR (BHABUA)",247,3859,809,1064,195,1791,NA
BIHAR,10,KATIHAR,226,8789,3846,547,614,3782,NA
BIHAR,10,KHAGARIA,237,3287,860,323,82,2022,NA
BIHAR,10,KISHANGANJ,224,2930,1723,266,52,889,NA
BIHAR,10,LAKHISARAI,241,9327,1795,1829,134,5569,NA
BIHAR,10,MADHEPURA,227,2581,851,379,67,1284,NA
BIHAR,10,MADHUBANI,221,18648,2867,3451,544,11786,NA
BIHAR,10,MUNGER,240,4359,1192,649,155,2363,NA
BIHAR,10,MUZAFFARPUR,230,16498,4910,2188,623,8777,NA
