StateName,state_id,DistrictName,DISTRICT_ID,TotalUAM,General,SC,ST,OBC,_CreatedDate
ASSAM,18,BARPETA,311,445,401,19,3,22,2022-04-01T08:30:13.143
ASSAM,18,BONGAIGAON,310,240,159,21,6,54,2022-04-01T08:30:13.143
ASSAM,18,DARRANG,314,224,181,7,5,31,2022-04-01T08:30:13.143
ASSAM,18,"DIMA HASAO",654,28,11,0,13,4,2022-04-01T08:30:13.143
ASSAM,18,JORHAT,323,320,221,14,9,76,2022-04-01T08:30:13.143
ASSAM,18,TINSUKIA,320,607,402,23,9,173,2022-04-01T08:30:13.143
BIHAR,10,ARWAL,613,1921,498,274,39,1110,2022-04-01T08:30:13.457
BIHAR,10,BHOJPUR,245,4400,1641,521,80,2158,2022-04-01T08:30:13.457
BIHAR,10,GAYA,251,14849,4212,3191,226,7220,2022-04-01T08:30:13.457
BIHAR,10,MADHEPURA,227,6212,1239,846,233,3894,2022-04-01T08:30:13.457
BIHAR,10,MADHUBANI,221,19784,5039,2500,465,11780,2022-04-01T08:30:13.457
BIHAR,10,MUNGER,240,6145,1525,722,174,3724,2022-04-01T08:30:13.457
CHHATTISGARH,22,BALOD,673,2615,340,141,334,1800,2022-04-01T08:30:17.817
CHHATTISGARH,22,BALRAMPUR,677,383,172,14,105,92,2022-04-01T08:30:17.817
CHHATTISGARH,22,JASHPUR,368,346,204,10,47,85,2022-04-01T08:30:17.817
CHHATTISGARH,22,NARAYANPUR,680,37,23,1,3,10,2022-04-01T08:30:17.817
CHHATTISGARH,22,RAJNANDAGAON,374,3204,975,250,290,1689,2022-04-01T08:30:17.817
GUJARAT,24,ANAND,441,6946,6006,168,48,724,2022-04-01T08:30:18.630
GUJARAT,24,MAHISAGAR,670,364,253,16,18,77,2022-04-01T08:30:18.630
GUJARAT,24,NAVSARI,450,4093,3137,145,172,639,2022-04-01T08:30:18.630
GUJARAT,24,PATAN,429,1106,780,57,8,261,2022-04-01T08:30:18.630
GUJARAT,24,RAJKOT,435,36456,30536,840,176,4904,2022-04-01T08:30:18.630
GUJARAT,24,"SABAR KANTHA",431,1639,1190,114,37,298,2022-04-01T08:30:18.630
GUJARAT,24,TAPI,672,1024,634,24,256,110,2022-04-01T08:30:18.630
GUJARAT,24,VADODARA,445,38557,33559,1376,515,3107,2022-04-01T08:30:18.630
HARYANA,6,JHAJJAR,102,2341,1745,221,7,368,2022-04-01T08:30:22.300
HARYANA,6,MAHENDRAGARH,103,1767,894,111,5,757,2022-04-01T08:30:22.300
HARYANA,6,NUH,685,1383,496,182,3,702,2022-04-01T08:30:22.300
HARYANA,6,REWARI,104,2310,1371,129,6,804,2022-04-01T08:30:22.300
"HIMACHAL PRADESH",2,KANGRA,46,1883,1265,227,91,300,2022-04-01T08:30:23.503
JHARKHAND,20,DEOGHAR,350,2842,1261,107,28,1446,2022-04-01T08:30:23.777
JHARKHAND,20,DHANBAD,351,9964,6242,477,157,3088,2022-04-01T08:30:23.777
JHARKHAND,20,DUMKA,352,2002,688,65,107,1142,2022-04-01T08:30:23.777
JHARKHAND,20,"GUMLA ",357,1633,540,35,713,345,2022-04-01T08:30:23.777
JHARKHAND,20,"KHUNTI ",360,2099,1503,48,227,321,2022-04-01T08:30:23.777
JHARKHAND,20,"LOHARDAGA ",363,1381,441,35,231,674,2022-04-01T08:30:23.777
JHARKHAND,20,SAHEBGANJ,621,1307,573,41,33,660,2022-04-01T08:30:23.777
KARNATAKA,29,BIDAR,528,2454,1115,398,116,825,2022-04-01T08:30:24.790
KARNATAKA,29,CHAMARAJNAGAR,550,1038,653,104,36,245,2022-04-01T08:30:24.790
KARNATAKA,29,CHIKKAMAGALURU,540,2512,1561,178,63,710,2022-04-01T08:30:24.790
KARNATAKA,29,KOLAR,542,1950,1015,354,49,532,2022-04-01T08:30:24.790
KARNATAKA,29,KOPPAL,530,1094,610,87,44,353,2022-04-01T08:30:24.790
KARNATAKA,29,MYSURU,549,9033,6224,504,276,2029,2022-04-01T08:30:24.790
KARNATAKA,29,UDUPI,539,4003,1674,121,99,2109,2022-04-01T08:30:24.790
KARNATAKA,29,"UTTAR KANNAD",533,3683,1636,222,47,1778,2022-04-01T08:30:24.790
KARNATAKA,29,VIJAYAPURA,526,4678,2205,735,38,1700,2022-04-01T08:30:24.790
KERALA,32,IDUKKI,562,1666,1117,93,30,426,2022-04-01T08:30:26.777
KERALA,32,KANNUR,555,3104,1880,61,5,1158,2022-04-01T08:30:26.777
KERALA,32,KOLLAM,566,4229,2429,120,6,1674,2022-04-01T08:30:26.777
KERALA,32,WAYANAD,556,636,370,20,11,235,2022-04-01T08:30:26.777
"MADHYA PRADESH",23,DATIA,693,4573,1610,815,27,2121,2022-04-01T08:30:27.603
"MADHYA PRADESH",23,DHAR,406,33607,7708,3254,7796,14849,2022-04-01T08:30:27.603
"MADHYA PRADESH",23,INDORE,407,30285,19808,1869,615,7993,2022-04-01T08:30:27.603
"MADHYA PRADESH",23,JHABUA,405,13966,1787,586,9359,2234,2022-04-01T08:30:27.603
"MADHYA PRADESH",23,MORENA,383,10200,5710,1098,87,3305,2022-04-01T08:30:27.603
"MADHYA PRADESH",23,NEEMUCH,399,10321,2814,1442,511,5554,2022-04-01T08:30:27.603
"MADHYA PRADESH",23,RATLAM,401,12803,5565,1055,2122,4061,2022-04-01T08:30:27.603
"MADHYA PRADESH",23,SAGAR,392,16361,3720,2533,821,9287,2022-04-01T08:30:27.603
"MADHYA PRADESH",23,SINGRAULI,422,7543,2643,823,605,3472,2022-04-01T08:30:27.603
"MADHYA PRADESH",23,TIKAMGARH,389,9747,2069,2692,238,4748,2022-04-01T08:30:27.603
MAHARASHTRA,27,BHANDARA,464,19772,3636,2940,846,12350,2022-04-01T08:30:32.040
MAHARASHTRA,27,BULDHANA,458,16914,7057,1575,241,8041,2022-04-01T08:30:32.040
MAHARASHTRA,27,JALNA,472,20854,14496,1741,180,4437,2022-04-01T08:30:32.040
MAHARASHTRA,27,"MUMBAI ",636,115702,103744,4547,432,6979,2022-04-01T08:30:32.040
MAHARASHTRA,27,NASHIK,474,49301,30198,3489,1181,14433,2022-04-01T08:30:32.040
MAHARASHTRA,27,PALGHAR,477,52707,43878,1539,1516,5774,2022-04-01T08:30:32.040
