state_name,state_id,district_name,lg_dt_code,medium,micro,small,total
"ANDHRA PRADESH",28,Kakinada,746,6,45904,170,46080
"ANDHRA PRADESH",28,PRAKASAM,517,10,60534,500,61044
"ANDHRA PRADESH",28,"SPSR NELLORE",515,27,78747,674,79448
"ANDHRA PRADESH",28,"WEST GODAVARI",523,72,75258,1196,76526
"ARUNACHAL PRADESH",12,"EAST SIANG",232,0,1148,18,1166
"ARUNACHAL PRADESH",12,KAMLE,718,0,163,2,165
"ARUNACHAL PRADESH",12,"LOWER SIANG",719,0,199,5,204
"ARUNACHAL PRADESH",12,"PAKKE KESSANG",723,0,88,0,88
"ARUNACHAL PRADESH",12,"SHI YOMI",725,0,98,0,98
ASSAM,18,BAJALI,739,0,3170,11,3181
ASSAM,18,BARPETA,280,17,29388,160,29565
ASSAM,18,Biswanath,705,2,12450,53,12505
ASSAM,18,GOALPARA,287,2,18252,108,18362
ASSAM,18,NALBARI,298,1,20147,70,20218
ASSAM,18,SONITPUR,301,11,25126,146,25283
BIHAR,10,ARARIA,188,7,34626,306,34939
BIHAR,10,BEGUSARAI,191,10,39334,279,39623
BIHAR,10,LAKHISARAI,204,0,9530,54,9584
BIHAR,10,MADHEPURA,205,7,23505,180,23692
CHHATTISGARH,22,BILASPUR,375,30,46396,566,46992
CHHATTISGARH,22,DHAMTARI,377,1,14669,106,14776
CHHATTISGARH,22,GARIABAND,645,0,9896,26,9922
CHHATTISGARH,22,JASHPUR,380,2,9990,65,10057
CHHATTISGARH,22,SURGUJA,389,6,16460,177,16643
GUJARAT,24,BHAVNAGAR,443,23,55660,636,56319
GUJARAT,24,BOTAD,676,2,9709,125,9836
GUJARAT,24,MORBI,673,20,37202,683,37905
GUJARAT,24,RAJKOT,457,180,147970,1916,150066
GUJARAT,24,SURENDRANAGAR,460,3,29482,276,29761
HARYANA,6,HISAR,63,40,60871,683,61594
HARYANA,6,JHAJJAR,64,8,25345,335,25688
HARYANA,6,KARNAL,67,33,71807,701,72541
HARYANA,6,PALWAL,619,6,26985,256,27247
JHARKHAND,20,"HAZARIBAG ",332,7,38106,224,38337
JHARKHAND,20,LATEHAR,335,2,8050,43,8095
JHARKHAND,20,"RANCHI ",339,65,95564,1049,96678
JHARKHAND,20,SAHEBGANJ,340,1,11291,69,11361
JHARKHAND,20,"SIMDEGA ",342,0,5358,25,5383
KARNATAKA,29,CHITRADURGA,533,14,35879,245,36138
KARNATAKA,29,DHARWAD,536,33,67289,632,67954
KARNATAKA,29,KOLAR,542,13,38026,287,38326
KARNATAKA,29,MYSURU,545,28,96993,926,97947
KARNATAKA,29,"UTTAR KANNAD",550,1,39953,220,40174
KARNATAKA,29,VIJAYAPURA,530,25,48629,448,49102
KERALA,32,ALAPPUZHA,554,10,41945,403,42358
KERALA,32,ERNAKULAM,555,153,98990,2056,101199
KERALA,32,PATHANAMTHIPTA,564,10,25118,252,25380
KERALA,32,THIRUVANANTHAPURAM,565,35,90211,880,91126
"MADHYA PRADESH",23,ALIRAJPUR,639,0,7314,33,7347
