"Sl. No.","NIC 2004 *",Desciption,"Micro (Values in Lakh)","Small (Values in Lakh)","Total (Values in Lakh)"
1,1,"AGRICULTURE, HUNTING AND RELATED SERVICE ACTIVITIES",0.13,0,0.13
2,5,"FISHING, AQUACULTURE AND SERVICE ACTIVITIES INCIDENTAL TO FISHING",0.03,0,0.03
3,15,"MANUFACTURE OF FOOD PRODUCTS AND BEVERAGES",48.13,0.18,48.31
4,16,"MANUFACTURE OF TOBACCO PRODUCTS",4.71,0,4.71
5,17,"MANUFACTURE OF TEXTILES",25.65,0.01,25.66
6,18,"MANUFACTURE OF WEARING APPAREL; DRESSING AND DYEING OF FUR",51.05,0,51.05
7,19,"TANNING AND DRESSING OF LEATHER; MANUFACTURE OF LUGGAGE, HANDBAGS, SADDLERY HARNESS AND FOOTWEAR.",2.65,0,2.66
8,20,"MANUFACTURE OF WOOD AND OF PRODUCTS OF WOOD AND CORK, EXCEPT FURNITURE; MANUFACTURE OF ARTICLES OF STRAW AND PLAITING MATERIALS.",12.33,0.03,12.35
9,21,"MANUFACTURE OF PAPER AND PAPER PRODUCTS",1.04,0,1.04
10,22,"PUBLISHING, PRINTING AND REPRODUCTION OF RECORDE3D MEIDA",3.76,0.03,3.79
11,23,"MANUFACTURE OF COKE, REFINED PETROLEUM PRODUCTS AND NECLEAR FUEL",0.28,0,0.28
12,24,"MANUFACTURE OF CHEMICALS AND CHEMICAL PRODUCTS",4.57,0.19,4.75
13,25,"MANUFACTURE OF RUBBER AND PLASTICS PRODUCTS",4.55,0.31,4.86
14,26,"MANUFACTURE OF OTHER NON-METALLIC MINERAL PRODUCTS",17.05,0.03,17.08
15,27,"MANUFACTURE OF BASIC METALS",2.06,0.13,2.19
16,28,"MANUFACTURE OF FABRICATED METAL PRODUCTS, EXCEPT MACHINERY AND EQUIPMENT",18.21,0.41,18.62
17,29,"MANUFACTURE OF MACHINERY AND EQUIPMENT N.E.C.",7.09,0,7.09
18,30,"MANUFACTURE OF OFFICE, ACCOUNTING AND COMPUTING MACHINERY",0.39,0,0.39
19,31,"MANUFACTURE OF ELECTRICAL MACHINERY AND APPARATUS N.E.C.",4.63,0,4.63
20,32,"MANUFACTURE OF RADIO, TELEVISION AND COMMUNICATION EQUIPMENT AND APPARATUS",2.03,0,2.03
21,33,"MANUFACTURE OF MEDICAL, PRECISION AND OPTICAL INSTRUMENTS, WATCHES AND CLOCKS.",0.96,0,0.96
22,34,"MANUFACTURE OF MOTOR VEHICLES, TRAILERS AND SEMI-TRAILERS.",0.83,0,0.83
23,35,"MANUFACTURE OF OTHER TRANSPORT EQUIPMENT",1.22,0,1.22
24,36,"MANUFACTURE OF FURNITURE; MANUFACTURING N.E.C.",24.46,0.09,24.55
25,37,RECYCLING,0.01,0,0.01
26,40,"ELECTRICITY, GAS, STEAM AND HOT WATER SUPPLY",0.92,0.17,1.09
27,41,"COLLECTION, PURIFICATION AND DISTRIBUTION OF WATER",0.4,0,0.4
28,45,CONSTRUCTION,0.48,0.01,0.49
29,50,"SALE, MAINTENANCE AND REPAIR OF MOTOR VEHICLES AND MOTORCYCLES; RETAIL SALE OF AUTOMOTIVE FUEL",27.91,0.4,28.32
30,52,"RETAIL TRADE, EXCEPT OF MOTOR VEHICLES AND MOTORCYCLES; REPAIR OF PERSONAL AND HOUSEHOLD GOODS.",46.24,0,46.25
31,63,"SUPPORTING AND AUXILIARY TRANSPORT ACTIVITIES; ACTIVITIES OF TRAVEL AGENCIES",0.01,0.12,0.13
32,64,"POST AND TELECOMMUNICATIONS",11.79,0.02,11.81
33,70,"REAL ESTATE ACTIVITIES",0.85,0,0.85
34,71,"RENTING OF AMCHINERY AND EQUIPMENT WITHOUT OPERATOR AND OF PERSONAL AND HOUSEHOLD GOODS",5.66,0.03,5.69
35,72,"COMPUTER AND RELATED ACTIVITIES",9.57,0.17,9.74
36,73,"RESEARCH AND DEVELOPMENT",0,0,0
37,74,"OTHER BUSINESS ACTIVITIES",24.45,0.71,25.16
38,92,"RECREATIONAL, CULTURAL AND SPORTING ACTIVITIES",2.14,0.12,2.25
39,93,"OTHER SERVICE ACTIVITIES",37.27,0.16,37.43
NA,NA,Total,405.52,3.32,408.84
