"Sl No","NIC 2004",Description,"No Power Needed (Values in Lakh)","Coal (Values in Lakh)","Oil (Values in Lakh)","LPG/CNG (Values in Lakh)","Electricity (Values in Lakh)","Non-Conventional Energy (Values in Lakh)","Traditional Energy/Firewood (Values in Lakh)","Others (Values in Lakh)","Not Recorded (Values in Lakh)","Total (Values in Lakh)"
1,1,"AGRICULTURE, HUNTING AND RELATED SERVICE ACTIVITIES",0,0,0.03,0,0.01,0,0,0,0.01,0.05
2,5,"FISHING, AQUACULTURE AND SERVICE ACTIVITIES INCIDENTAL TO FISHING",0,0,0,0,0,0,0,0,0.01,0.01
3,15,"MANUFACTURE OF FOOD PRODUCTS AND BEVERAGES",1.3,0.51,7.08,0.41,11.72,0.07,1.3,0.25,0.25,22.89
4,16,"MANUFACTURE OF TOBACCO PRODUCTS",1.25,0.19,0.01,0,0.04,0,0.03,0.05,0,1.58
5,17,"MANUFACTURE OF TEXTILES",5.3,0.01,0.08,0,1.56,0.02,0.1,0.08,0.21,7.36
6,18,"MANUFACTURE OF WEARING APPAREL; DRESSING AND DYEING OF FUR",18.07,0.15,0.11,0.01,10.19,0.05,0.07,0.5,0.36,29.52
7,19,"TANNING AND DRESSING OF LEATHER; MANUFACTURE OF LUGGAGE, HANDBAGS, SADDLERY HARNESS AND FOOTWEAR.",0.79,0,0.03,0,0.36,0,0.01,0.02,0.01,1.23
8,20,"MANUFACTURE OF WOOD AND OF PRODUCTS OF WOOD AND CORK, EXCEPT FURNITURE; MANUFACTURE OF ARTICLES OF STRAW AND PLAITING MATERIALS.",3.83,0.02,0.11,0.01,1.65,0.01,0.07,0.09,0.06,5.85
9,21,"MANUFACTURE OF PAPER AND PAPER PRODUCTS",0.07,0,0.01,0,0.23,0,0,0,0.02,0.33
10,22,"PUBLISHING, PRINTING AND REPRODUCTION OF RECORDE3D MEIDA",0.33,0,0.01,0,0.97,0,0,0.02,0.03,1.37
11,23,"MANUFACTURE OF COKE, REFINED PETROLEUM PRODUCTS AND NECLEAR FUEL",0.02,0,0.02,0,0.05,0,0,0,0,0.09
12,24,"MANUFACTURE OF CHEMICALS AND CHEMICAL PRODUCTS",0.41,0.05,0.03,0,1.08,0.01,0.14,0.15,0.02,1.9
13,25,"MANUFACTURE OF RUBBER AND PLASTICS PRODUCTS",0.41,0.01,0.11,0,1.39,0,0.06,0.04,0.01,2.06
14,26,"MANUFACTURE OF OTHER NON-METALLIC MINERAL PRODUCTS",0.84,0.42,0.05,0,0.65,0.01,0.81,0.14,0.02,2.95
15,27,"MANUFACTURE OF BASIC METALS",0.17,0.02,0.08,0,0.34,0,0.03,0.01,0.01,0.65
16,28,"MANUFACTURE OF FABRICATED METAL PRODUCTS, EXCEPT MACHINERY AND EQUIPMENT",0.89,0.55,0.33,0.04,4.64,0.03,0.36,0.11,0.08,7.02
17,29,"MANUFACTURE OF MACHINERY AND EQUIPMENT N.E.C.",1.08,0.57,0.12,0.01,1.24,0.03,0.24,0.09,0.05,3.43
18,30,"MANUFACTURE OF OFFICE, ACCOUNTING AND COMPUTING MACHINERY",0.01,0,0.01,0,0.23,0,0,0,0.02,0.27
19,31,"MANUFACTURE OF ELECTRICAL MACHINERY AND APPARATUS N.E.C.",0.58,0,0.03,0.01,1.93,0.01,0,0.02,0.03,2.61
20,32,"MANUFACTURE OF RADIO, TELEVISION AND COMMUNICATION EQUIPMENT AND APPARATUS",0.37,0,0.02,0,0.83,0,0,0.01,0.01,1.25
21,33,"MANUFACTURE OF MEDICAL, PRECISION AND OPTICAL INSTRUMENTS, WATCHES AND CLOCKS.",0.07,0,0.02,0,0.39,0,0,0,0,0.49
22,34,"MANUFACTURE OF MOTOR VEHICLES, TRAILERS AND SEMI-TRAILERS.",0.06,0,0.08,0,0.1,0,0,0,0,0.25
23,35,"MANUFACTURE OF OTHER TRANSPORT EQUIPMENT",0.2,0,0.01,0,0.48,0,0,0.01,0.01,0.72
