Sl.No,"NIC 2004 *",Description,"Micro (Numbers in Lakh)","Small (Numbers in Lakh)","Total (Numbers in Lakh)"
1,1,"AGRICULTURE, HUNTING AND RELATED SERVICE ACTIVITIES",0.05,0,0.05
2,5,"FISHING, AQUACULTURE AND SERVICE ACTIVITIES INCIDENTAL TO FISHING",0.01,0,0.01
3,15,"MANUFACTURE OF FOOD PRODUCTS AND BEVERAGES",22.88,0.01,22.89
4,16,"MANUFACTURE OF TOBACCO PRODUCTS",1.58,0,1.58
5,17,"MANUFACTURE OF TEXTILES",7.36,0.01,7.36
6,18,"MANUFACTURE OF WEARING APPAREL; DRESSING AND DYEING OF FUR",29.52,0,29.52
7,19,"TANNING AND DRESSING OF LEATHER; MANUFACTURE OF LUGGAGE, HANDBAGS, SADDLERY HARNESS AND FOOTWEAR.",1.23,0,1.23
8,20,"MANUFACTURE OF WOOD AND OF PRODUCTS OF WOOD AND CORK, EXCEPT FURNITURE; MANUFACTURE OF ARTICLES OF STRAW AND PLAITING MATERIALS.",5.85,0,5.85
9,21,"MANUFACTURE OF PAPER AND PAPER PRODUCTS",0.33,0,0.33
10,22,"PUBLISHING, PRINTING AND REPRODUCTION OF RECORDE3D MEIDA",1.37,0,1.37
11,23,"MANUFACTURE OF COKE, REFINED PETROLEUM PRODUCTS AND NECLEAR FUEL",0.09,0,0.09
12,24,"MANUFACTURE OF CHEMICALS AND CHEMICAL PRODUCTS",1.89,0,1.9
13,25,"MANUFACTURE OF RUBBER AND PLASTICS PRODUCTS",2.05,0.01,2.06
14,26,"MANUFACTURE OF OTHER NON-METALLIC MINERAL PRODUCTS",2.95,0,2.95
15,27,"MANUFACTURE OF BASIC METALS",0.65,0,0.65
16,28,"MANUFACTURE OF FABRICATED METAL PRODUCTS, EXCEPT MACHINERY AND EQUIPMENT",7.01,0.01,7.02
17,29,"MANUFACTURE OF MACHINERY AND EQUIPMENT N.E.C.",3.42,0,3.43
18,30,"MANUFACTURE OF OFFICE, ACCOUNTING AND COMPUTING MACHINERY",0.27,0,0.27
19,31,"MANUFACTURE OF ELECTRICAL MACHINERY AND APPARATUS N.E.C.",2.61,0,2.61
20,32,"MANUFACTURE OF RADIO, TELEVISION AND COMMUNICATION EQUIPMENT AND APPARATUS",1.25,0,1.25
21,33,"MANUFACTURE OF MEDICAL, PRECISION AND OPTICAL INSTRUMENTS, WATCHES AND CLOCKS.",0.49,0,0.49
22,34,"MANUFACTURE OF MOTOR VEHICLES, TRAILERS AND SEMI-TRAILERS.",0.25,0,0.25
23,35,"MANUFACTURE OF OTHER TRANSPORT EQUIPMENT",0.72,0,0.72
24,36,"MANUFACTURE OF FURNITURE; MANUFACTURING N.E.C.",10.61,0.01,10.62
25,37,RECYCLING,0.01,0,0.01
26,40,"ELECTRICITY, GAS, STEAM AND HOT WATER SUPPLY",0.52,0.04,0.55
27,41,"COLLECTION, PURIFICATION AND DISTRIBUTION OF WATER",0.13,0,0.13
28,45,CONSTRUCTION,0.28,0,0.28
29,50,"SALE, MAINTENANCE AND REPAIR OF MOTOR VEHICLES AND MOTORCYCLES; RETAIL SALE OF AUTOMOTIVE FUEL",12.31,0.04,12.34
30,52,"RETAIL TRADE, EXCEPT OF MOTOR VEHICLES AND MOTORCYCLES; REPAIR OF PERSONAL AND HOUSEHOLD GOODS.",30.06,0,30.06
31,63,"SUPPORTING AND AUXILIARY TRANSPORT ACTIVITIES; ACTIVITIES OF TRAVEL AGENCIES",0,0.01,0.02
32,64,"POST AND TELECOMMUNICATIONS",8.21,0,8.21
33,70,"REAL ESTATE ACTIVITIES",0.31,0,0.31
34,71,"RENTING OF AMCHINERY AND EQUIPMENT WITHOUT OPERATOR AND OF PERSONAL AND HOUSEHOLD GOODS",1.76,0.01,1.77
35,72,"COMPUTER AND RELATED ACTIVITIES",4.3,0.03,4.33
36,73,"RESEARCH AND DEVELOPMENT",0,0,0
37,74,"OTHER BUSINESS ACTIVITIES",12.56,0.13,12.69
38,92,"RECREATIONAL, CULTURAL AND SPORTING ACTIVITIES",1.18,0.01,1.19
39,93,"OTHER SERVICE ACTIVITIES",22.33,0.01,22.34
NA,NA,"All India",198.39,0.35,198.74
