"Sl No.","NIC 2004 *",Description,"Proprietary (Number in Lakhs)","Partnership (Number in Lakhs)","Private Co. (Number in Lakhs)","Co-operative (Number in Lakhs)","Others (Number in Lakhs)","Not Recorded (Number in Lakhs)","Total (Number in Lakhs)"
1,1,"AGRICULTURE, HUNTING AND RELATED SERVICE ACTIVITIES",0.04,0,0,0,0,0.01,0.05
2,5,"FISHING, AQUACULTURE AND SERVICE ACTIVITIES INCIDENTAL TO FISHING",0,0,0,0,0,0.01,0.01
3,15,"MANUFACTURE OF FOOD PRODUCTS AND BEVERAGES",21.48,0.29,0,0.03,0.24,0.84,22.89
4,16,"MANUFACTURE OF TOBACCO PRODUCTS",1.52,0.01,0,0,0,0.04,1.58
5,17,"MANUFACTURE OF TEXTILES",6.93,0.05,0,0,0.03,0.34,7.36
6,18,"MANUFACTURE OF WEARING APPAREL; DRESSING AND DYEING OF FUR",27.95,0.27,0,0.01,0.32,0.96,29.52
7,19,"TANNING AND DRESSING OF LEATHER; MANUFACTURE OF LUGGAGE, HANDBAGS, SADDLERY HARNESS AND FOOTWEAR.",1.12,0.03,0,0,0.02,0.06,1.23
8,20,"MANUFACTURE OF WOOD AND OF PRODUCTS OF WOOD AND CORK, EXCEPT FURNITURE; MANUFACTURE OF ARTICLES OF STRAW AND PLAITING MATERIALS.",5.45,0.07,0,0,0.14,0.2,5.85
9,21,"MANUFACTURE OF PAPER AND PAPER PRODUCTS",0.27,0.03,0,0,0.01,0.02,0.33
10,22,"PUBLISHING, PRINTING AND REPRODUCTION OF RECORDE3D MEIDA",1.24,0.05,0,0,0.03,0.05,1.37
11,23,"MANUFACTURE OF COKE, REFINED PETROLEUM PRODUCTS AND NECLEAR FUEL",0.09,0,0,0,0,0,0.09
12,24,"MANUFACTURE OF CHEMICALS AND CHEMICAL PRODUCTS",1.74,0.02,0,0,0.07,0.07,1.9
13,25,"MANUFACTURE OF RUBBER AND PLASTICS PRODUCTS",1.93,0.04,0,0,0.04,0.05,2.06
14,26,"MANUFACTURE OF OTHER NON-METALLIC MINERAL PRODUCTS",2.69,0.14,0,0,0.03,0.09,2.95
15,27,"MANUFACTURE OF BASIC METALS",0.63,0,0,0,0,0.01,0.65
16,28,"MANUFACTURE OF FABRICATED METAL PRODUCTS, EXCEPT MACHINERY AND EQUIPMENT",6.58,0.09,0,0,0.14,0.21,7.02
17,29,"MANUFACTURE OF MACHINERY AND EQUIPMENT N.E.C.",3.27,0.04,0,0,0.04,0.07,3.43
18,30,"MANUFACTURE OF OFFICE, ACCOUNTING AND COMPUTING MACHINERY",0.26,0,0,0,0,0.01,0.27
19,31,"MANUFACTURE OF ELECTRICAL MACHINERY AND APPARATUS N.E.C.",2.44,0.02,0,0,0.07,0.08,2.61
20,32,"MANUFACTURE OF RADIO, TELEVISION AND COMMUNICATION EQUIPMENT AND APPARATUS",1.07,0.01,0,0,0.14,0.03,1.25
21,33,"MANUFACTURE OF MEDICAL, PRECISION AND OPTICAL INSTRUMENTS, WATCHES AND CLOCKS.",0.44,0.01,0,0,0,0.03,0.49
22,34,"MANUFACTURE OF MOTOR VEHICLES, TRAILERS AND SEMI-TRAILERS.",0.22,0.01,0,0,0.02,0.01,0.25
23,35,"MANUFACTURE OF OTHER TRANSPORT EQUIPMENT",0.67,0.02,0,0,0.02,0.01,0.72
24,36,"MANUFACTURE OF FURNITURE; MANUFACTURING N.E.C.",9.99,0.12,0.01,0.01,0.09,0.4,10.62
25,37,RECYCLING,0.01,0,0,0,0,0,0.01
26,40,"ELECTRICITY, GAS, STEAM AND HOT WATER SUPPLY",0.54,0,0,0,0,0,0.55
27,41,"COLLECTION, PURIFICATION AND DISTRIBUTION OF WATER",0.12,0,0,0,0.01,0,0.13
28,45,CONSTRUCTION,0.15,0,0,0,0.02,0.12,0.28
29,50,"SALE, MAINTENANCE AND REPAIR OF MOTOR VEHICLES AND MOTORCYCLES; RETAIL SALE OF AUTOMOTIVE FUEL",11.57,0.2,0.01,0.01,0.14,0.42,12.34
30,52,"RETAIL TRADE, EXCEPT OF MOTOR VEHICLES AND MOTORCYCLES; REPAIR OF PERSONAL AND HOUSEHOLD GOODS.",28.73,0.25,0.02,0.03,0.29,0.74,30.06
31,63,"SUPPORTING AND AUXILIARY TRANSPORT ACTIVITIES; ACTIVITIES OF TRAVEL AGENCIES",0,0,0,0.01,0,0,0.02
32,64,"POST AND TELECOMMUNICATIONS",7.78,0.07,0,0.02,0.17,0.19,8.21
33,70,"REAL ESTATE ACTIVITIES",0.25,0.05,0,0,0,0.01,0.31
34,71,"RENTING OF AMCHINERY AND EQUIPMENT WITHOUT OPERATOR AND OF PERSONAL AND HOUSEHOLD GOODS",1.51,0.06,0,0.05,0.08,0.07,1.77
35,72,"COMPUTER AND RELATED ACTIVITIES",3.98,0.15,0,0.02,0.06,0.12,4.33
36,73,"RESEARCH AND DEVELOPMENT",0,0,0,0,0,0,0
37,74,"OTHER BUSINESS ACTIVITIES",12.17,0.28,0,0.03,0.07,0.14,12.69
38,92,"RECREATIONAL, CULTURAL AND SPORTING ACTIVITIES",1.04,0.01,0.01,0,0.02,0.11,1.19
39,93,"OTHER SERVICE ACTIVITIES",21.2,0.26,0,0.01,0.28,0.59,22.34
NA,NA,Total,187.07,2.65,0.06,0.23,2.58,6.15,198.74
