Sl.No.,"NIC 2004 *","Characteristics / Industry","Number of working Enterprises","Employment (Person)","Original value of P & M (Value in Crore)","Market value of Fixed Assets (Value in Crore)","Gross Output (Value in Crore)","Total Input (Value in Crore)","GVA (Value in Crore)","Export (Value in Crore)","Net Worth (Value in Crore)"
1,01,"AGRICULTURE,HUNTING AND RELATED SERVICE ACTIVITIES",3864,24990,232.95,1087.27,2758.87,1563.46,1195.41,73.86,2511.12
2,02,"FORESTRY,LOGGING AND RELATED SERVICE ACTIVITIES",1051,9054,173.49,700.78,2061,909.15,1151.85,398.97,632.66
3,13,"MINING OF METAL ORES",485,7086,161.97,400.52,1434.01,708.02,725.99,97.65,633.26
4,14,"OTHER MINING AND QUARRYING",13370,129188,1507.95,4991.06,6172.16,3568.05,2604.11,362.58,4276.77
5,15,"FOOD PRDUCTS & BEVERAGES",223018,1468426,13621.45,60195.91,137287.41,94628.17,42659.24,9113.78,71909.49
6,16,"TOBACCO PRODUCTS",5110,208120,315.7,1549.97,5371.35,3345.21,2026.14,75.2,1817.51
7,17,TEXTILES,106095,1024990,15256.39,49270.96,65759.89,41666.56,24093.33,6908.1,40102.15
8,18,"WEARING APPAREL",213769,900729,5792.32,24780.92,33525.92,16888.63,16637.29,12275.78,21093.1
9,19,"LEATHER & LEATHER PRODUCTS",26587,165541,1308.28,7352.13,13703.22,9178.08,4525.14,5692.1,7789.49
10,20,"WOOD & WOOD PRODUCTS",55197,225689,1737.54,9291.19,9629.72,5659.03,3970.69,1536.78,7830.85
11,21,"PAPER & PAPER PRODUCTS",13434,147887,2020.6,7862.55,16478.69,9847.72,6630.97,186.4,8276.61
12,22,"PUBLISHING, PRINTING & REPRODUCTION OF RECORDED MEDIA",41284,213925,2304.62,10050.83,11210.28,5935.79,5274.49,217.33,10409.4
13,23,"COKE & REFINED PETROLEUM PRODUCTS",2319,32323,488.97,2026.45,6212.41,3919.81,2292.6,135.26,2515.21
14,24,"CHEMICALS & CHEMICAL PRODUCTS",51208,493985,8190.43,34599.12,59598.93,35824.51,23774.42,5357.02,31272.87
15,25,"RUBBER & PLASTIC PRODUCTS",37039,304321,5232.93,18716.52,30643.14,20543.21,10099.93,1799.06,17981.91
16,26,"OTHER NON-METALLIC MINERAL PRODUCTS",58982,615229,5040.57,20861.87,21998.03,12003.68,9994.35,2784.96,14528.74
17,27,"BASIC METALS",19842,305072,6310.64,23693.64,64356.69,47993.55,16363.14,1859.97,26501.36
18,28,"FABRICATED METAL PRODUCTS",140077,757617,7529.71,37568.17,52017.14,30085.89,21931.25,5177.92,42985.42
19,29,"MACHINERY & EQUIPMENT N.E.C.",72945,512210,8988.64,34466.07,42364.81,24783.4,17581.41,3382.62,26928.51
20,30,"OFFICE, ACCOUNTING & COMPUTING MACHINERY",4752,27034,477.42,2582.69,4746.36,2688.96,2057.4,433.48,2552.48
21,31,"ELECTRICAL MACHINERY & APPARATUS N.E.C.",34858,179428,1951.77,8898.27,22692.33,14908.05,7784.28,1684.4,9452.23
22,32,"RADIO, TV & COMMUNICATION EQUIPMENT & APPARATUS",16000,70202,691.79,3802.87,7167.56,5158.37,2009.19,784.12,3673.67
23,33,"MEDICAL, PRECISION & OPTICAL INSTRUMENTS, WATCHES & CLOCKS",10709,89694,1352.72,4612.29,9439.35,6472.23,2967.12,640.02,4319
24,34,"MOTOR VEHICLES, TRAILERS & SEMI-TRAILERS",5839,60712,752.34,2888.61,8396.76,5256.31,3140.45,304.87,5705.05
25,35,"OTHER TRANSPORT EQUIPMENT",15712,178852,1609.86,7056.69,21808.28,14798.96,7009.32,1750.43,12500.66
26,36,FURNITURE,99534,363407,2947.84,19289.1,17864.41,8443.71,9420.7,3032.27,10576.47
27,37,RECYCLING,188,1577,23.98,63.59,363.85,319.75,44.1,17.48,60.09
