Sl.No.,"NIC 2004 *",Description,Micro,Small,Medium,Total
1,01,"AGRICULTURE,HUNTING AND RELATED SERVICE ACTIVITIES",3697,162,5,3864
2,02,"FORESTRY,LOGGING AND RELATED SERVICE ACTIVITIES",961,86,3,1050
3,13,"MINING OF METAL ORES",355,124,5,484
4,14,"OTHER MINING AND QUARRYING",12349,997,24,13370
5,15,"FOOD PRDUCTS & BEVERAGES",214378,8284,356,223018
6,16,"TOBACCO PRODUCTS",4872,234,4,5110
7,17,TEXTILES,97597,8202,297,106096
8,18,"WEARING APPAREL",209630,3945,193,213768
9,19,"LEATHER & LEATHER PRODUCTS",25628,926,32,26586
10,20,"WOOD & WOOD PRODUCTS",54034,1143,20,55197
11,21,"PAPER & PAPER PRODUCTS",11947,1446,41,13434
12,22,"PUBLISHING, PRINTING & REPRODUCTION OF RECORDED MEDIA",39793,1454,38,41285
13,23,"COKE & REFINED PETROLEUM PRODUCTS",1940,361,17,2318
14,24,"CHEMICALS & CHEMICAL PRODUCTS",45760,5161,288,51209
15,25,"RUBBER & PLASTIC PRODUCTS",33251,3651,136,37038
16,26,"OTHER NON-METALLIC MINERAL PRODUCTS",55273,3610,99,58982
17,27,"BASIC METALS",15514,4110,217,19841
18,28,"FABRICATED METAL PRODUCTS",134608,5366,103,140077
19,29,"MACHINERY & EQUIPMENT N.E.C.",66548,6136,261,72945
20,30,"OFFICE, ACCOUNTING & COMPUTING MACHINERY",4550,177,25,4752
21,31,"ELECTRICAL MACHINERY & APPARATUS N.E.C.",33233,1580,45,34858
22,32,"RADIO, TV & COMMUNICATION EQUIPMENT & APPARATUS",15581,398,21,16000
23,33,"MEDICAL, PRECISION & OPTICAL INSTRUMENTS, WATCHES & CLOCKS",9923,745,41,10709
24,34,"MOTOR VEHICLES, TRAILERS & SEMI-TRAILERS",5224,600,14,5838
25,35,"OTHER TRANSPORT EQUIPMENT",14574,1102,36,15712
26,36,FURNITURE,96831,2665,37,99533
27,37,RECYCLING,175,12,1,188
28,40,"ELECTRICITY, GAS, STEAM & HOT WATER SUPPLY",553,94,10,657
29,41,"COLLECTION, PURUFICATION & DISTRIBUTION OF WATER",106,9,0,115
30,45,CONSTRUCTION,172,18,2,192
31,50,"REPAIR & MAINTENANCE OF MOTOR VEHICLES; RETAIL SALE OF AUTOMOTIVE FUEL",55517,2607,57,58181
32,51,"WHOLESALE TRADE & COMMISSION TRADE",1300,112,10,1422
33,52,"REPAIR & MAINTENANCE OF PERSONAL & HOUSEHOLD GOODS; RETAIL TRADE",128981,3286,30,132297
34,55,"HOTELS & RESTAURANTS",1179,129,8,1316
35,60,"LAND TRANSPORT",210,31,2,243
36,63,"SUPPORTING & AUXILLIARY TRANSPORT & TRAVEL AGENTS ACTIVITIES",980,1449,72,2501
37,64,"POST & TELECOMMUNICATIONS",15760,1362,29,17151
38,70,"REAL ESTATE ACTIVITIES",127,8,0,135
39,71,"RENTING OF MACHINERY & EQUIPMENT AND PERSONAL & HOUSEHOLD GOODS",479,10,1,490
40,72,"COMPUTER AND RELATED ACTIVITIES",18720,2035,20,20775
41,73,"RESEARCH AND DEVELOPMENT",4,1,0,5
42,74,"OTHER BUSINESS ACTIVITIES",24726,1724,49,26499
43,80,EDUCATION,714,46,1,761
44,85,"HEALTH AND SOCIAL WORK",1267,92,4,1363
45,92,"RECREATIONAL, CULTURAL AND SPORTING ACTIVITIES",2475,90,2,2567
46,93,"OTHER SERVICE ACTIVITIES",8196,414,6,8616
47,NA,"Not Recorded",15071,334,21,15426
NA,NA,"All India",1484763,76528,2683,1563974
