"Sl No ","Districts ","Number of Units","Employment Provided"
1,BAGALKOT,189,918
2,BALLARI,135,1678
3,BELAGAVI,663,4013
4,"BENGALURU (RURAL)",489,8920
5,"BENGALURU (URBAN)",3535,65056
6,BIDAR,94,727
7,CHAMARAJNAGAR,29,199
8,CHIKBALLAPUR,67,351
9,CHIKKAMAGALURU,72,369
10,CHITRADURGA,71,724
11,"DAKSHIN KANNAD",230,3552
12,DAVANGERE,104,484
13,DHARWAD,413,2805
14,GADAG,61,286
15,HASSAN,87,397
16,HAVERI,53,264
17,KALABURAGI,104,844
18,KODAGU,41,224
19,KOLAR,101,1026
20,KOPPAL,64,471
21,MANDYA,65,355
22,MYSURU,340,6331
23,RAICHUR,62,679
24,RAMANAGARA,69,2053
25,SHIVAMOGGA,177,1126
26,TUMAKURU,196,1993
27,UDUPI,192,2798
28,"UTTAR KANNAD",148,667
29,VIJAYAPURA,143,4060
30,YADGIR,36,156
NA,"Grand Total",8030,113526
