LG_ST_Code,State,LG_DT_Code,District,Pincode,RegistrationDate,EnterpriseName,CommunicationAddress,Activities
9,"UTTAR PRADESH",126,BALLIA,277001.0,13/12/2021,"RADHESHYAM STORES","000, RADHESHYAM STORES, IN FRONT OF GAYATRI MANDIR, 000, HANUMANGANJ, BALLIA","[{""NIC5DigitId"":""47110"",""Description"":""Retail sale in non-specialized stores with food, beverages or tobacco predominating""}]"
23,"MADHYA PRADESH",422,RAJGARH,465689.0,13/12/2021,"PARVATI UDHYOG","0, Ranara, KHILCHIPUR, 0, KHILCHIPUR, Rajgarh","[{""NIC5DigitId"":""46204"",""Description"":""Wholesale of straw, fodder & other animal\/poultry feed""}]"
20,JHARKHAND,327,"EAST SINGHBHUM",831006.0,13/12/2021,"R P ENTERPRISES","GROUND FLOOR, ., BHATU GALI, NAYA BAZAR, GROUND FLOOR, ., JAMSHEDPUR","[{""NIC5DigitId"":""68200"",""Description"":""Real estate activities on a fee or contract basis""},{""NIC5DigitId"":""71100"",""Description"":""Architectural and engineering activities and related technical consultancy""}]"
7,DELHI,77,CENTRAL,110006.0,13/12/2021,"PANKAJ SAREES","985, gali bhojpura, nai sarak, 985, nai sarak, delhi","[{""NIC5DigitId"":""46411"",""Description"":""Wholesale of textiles, fabrics, yarn, household linen, articles of clothing, floor coverings and tapestry, sports clothes""}]"
27,MAHARASHTRA,483,"MUMBAI SUBURBAN",400057.0,13/12/2021,"Prospect Engineering","216, E SQUARE, SUBHASH ROAD, 216, VILE PARLE EAST, Mumbai","[{""NIC5DigitId"":""71100"",""Description"":""Architectural and engineering activities and related technical consultancy""},{""NIC5DigitId"":""72100"",""Description"":""Research and experimental development on natural sciences and engineering""},{""NIC5DigitId"":""74903"",""Description"":""Weather forecasting activities""},{""NIC5DigitId"":""77305"",""Description"":""Renting and operational leasing of land-transport equipment (other than motor vehicles) without drivers""}]"
36,TELANGANA,700,"MEDCHAL MALKAJGIRI",501301.0,13/12/2021,"VAISHNAVA ELECTRO COAT SYSTEMS","H.NO. 3 - 433, SY.NO.28, -, H.NO. 3 - 433, SHED.NO.1, NAGARAM","[{""NIC5DigitId"":""24109"",""Description"":""Manufacture of other basic iron and steel n.e.c""}]"
36,TELANGANA,700,"MEDCHAL MALKAJGIRI",500055.0,13/12/2021,"BALAJI FOOD COURT","H . NO 42-05, NA, SRINIVASA NAGAR MAIN ROAD, H . NO 42-05, NA, HYDERABAD","[{""NIC5DigitId"":""56102"",""Description"":""Cafeterias, fast-food restaurants and other food preparation in market stalls""}]"
33,"TAMIL NADU",570,CUDDALORE,606106.0,13/12/2021,"RS RICE SHOP","PERIYAR STREET, RS RICE SHOP, PERIYAR STREET, PERIYAR STREET, MANGALORE, TITTAGUDI","[{""NIC5DigitId"":""47211"",""Description"":""Retail sale of cereals and pulses, tea, coffee, spices and flour""}]"
24,GUJARAT,457,RAJKOT,360001.0,13/12/2021,"BORISAGAR ENTERPRISE","N-308, RANGOLI PARK, KALAWAD ROAD, N-308, -, RAJKOT","[{""NIC5DigitId"":""41002"",""Description"":""Activities relating to alteration, addition, repair, maintenance carried out on own-account basis or on a fee or contract basis""}]"
27,MAHARASHTRA,490,PUNE,411018.0,13/12/2021,"R BUDDY HEALTH CARE SERVICE PROVIDER","226/1849, SANT TUKARAM NAGAR, Pimpri Chinchwad, 226/1849, Pimpri Chinchwad, PIMPRI","[{""NIC5DigitId"":""86909"",""Description"":""Other human health activities n.e.c. (including independent ambulance activities)""}]"
