"Sl. No.",State/UT,"Micro (Values in Lakh)","Small (Values in Lakh)","Total (Values in Lakh)"
1,"Jammu and Kashmir",2.17,0,2.17
2,"Himachal Pradesh",2.06,0.21,2.27
3,Punjab,14.03,0.13,14.16
4,Chandigarh,0.58,0,0.58
5,Uttarakhand,3.51,0.11,3.62
6,Haryana,8.41,0.01,8.41
7,Delhi,5.67,0.27,5.94
8,Rajasthan,14.88,0.12,15
9,"Uttar Pradesh",51.73,0.03,51.76
10,Bihar,15.95,0.02,15.97
11,Sikkim,0.56,0,0.56
12,"Arunachal Pradesh",0.82,0,0.82
13,Nagaland,1,0,1
14,Manipur,1.38,0,1.38
15,Mizoram,0.3,0,0.3
16,Tripura,0.53,0,0.53
17,Meghalaya,1.04,0,1.04
18,Assam,4.47,0.01,4.48
19,"West Bengal",54.66,0.27,54.93
20,Jharkhand,8.24,0,8.24
21,Orissa,21.86,0.08,21.94
22,Chhattisgarh,4.68,0,4.68
23,"Madhya Pradesh",17.31,0,17.32
24,Gujarat,21.95,0.02,21.97
25,"Daman & Diu",0.03,0,0.03
26,"Dadar and Nagar Haveli",0.07,0,0.07
27,Maharashtra,24.51,0.21,24.72
28,"Andhra Pradesh",34.64,0.51,35.15
29,Karnataka,22.04,0.54,22.58
30,Goa,0.86,0,0.87
31,Lakshadweep,0.05,0,0.05
32,Kerala,26.67,0.32,26.98
33,"Tamil Nadu",38.43,0.47,38.89
34,Puducherry,0.25,0,0.25
35,"Andaman and Nicobar Islands",0.18,0,0.18
NA,"All India",405.52,3.32,408.84
