"Sl. No.","State Name","Female (Values in Lakh)","Male(Values in Lakh)","Total (Values in Lakh)","SC (Values in Lakh)","ST (Values in Lakh)","OBC (Values in Lakh)","Others (Values in Lakh)","Not Recorded (Values in Lakh)"
1,"Jammu and Kashmir",0.21,1.95,2.17,0.12,0.22,0.6,1.23,0
2,"Himachal Pradesh",0.16,2.11,2.27,0.94,0.12,0.25,0.96,0
3,Punjab,1.06,13.1,14.16,2.46,0.21,6.31,5.17,0
4,Chandigarh,0.07,0.51,0.58,0,0,0,0,0.58
5,Uttarakhand,0.29,3.33,3.62,0.71,0.13,0.9,1.88,0
6,Haryana,0.32,8.09,8.41,1.08,0.07,4.44,2.82,0
7,Delhi,1.23,4.71,5.94,0.24,0.05,0.96,4.69,0
8,Rajasthan,1.43,13.57,15,2.02,0.99,7.93,4.06,0
9,"Uttar Pradesh",3.08,48.68,51.76,7.15,0.3,28.4,15.91,0
10,Bihar,1.45,14.52,15.97,2.46,0.66,10.05,2.81,0
11,Sikkim,0.18,0.37,0.56,0,0,0,0.01,0.55
12,"Arunachal Pradesh",0.22,0.6,0.82,0.02,0.61,0.04,0.15,0
13,Nagaland,0.26,0.75,1,0.01,0.92,0.01,0.07,0
14,Manipur,0.41,0.97,1.38,0,0,0.06,0.38,0.94
15,Mizoram,0.07,0.22,0.3,0,0.23,0,0,0.07
16,Tripura,0.1,0.43,0.53,0.09,0.05,0.15,0.24,0
17,Meghalaya,0.23,0.82,1.04,0.01,0.89,0.02,0.12,0
18,Assam,0.66,3.82,4.48,0.42,0.58,1.16,2.32,0
19,"West Bengal",7.72,47.22,54.93,9.86,1.62,9.84,33.61,0
20,Jharkhand,0.61,7.63,8.24,0.38,1.5,4.41,1.96,0
21,Orissa,4.58,17.36,21.94,2.38,4.17,9.36,6.03,0
22,Chhattisgarh,0.43,4.25,4.68,0.68,0.91,2.17,0.92,0
23,"Madhya Pradesh",1.97,15.34,17.32,2.21,1.43,9.43,4.24,0
24,Gujarat,1.06,20.91,21.97,3.59,1.19,7.39,9.8,0
25,"Daman & Diu",0,0.03,0.03,0,0,0,0.02,0
26,"Dadar and Nagar Haveli",0.01,0.06,0.07,0,0,0,0.07,0
27,Maharashtra,1.77,22.95,24.72,1.23,0.54,9.65,13.3,0
28,"Andhra Pradesh",5.27,29.88,35.15,2.71,0.71,21.97,9.76,0
29,Karnataka,4.17,18.41,22.58,1.21,0.79,14.46,6.12,0
30,Goa,0.1,0.76,0.87,0,0,0.08,0.78,0
31,Lakshadweep,0.03,0.02,0.05,0,0,0,0,0.05
32,Kerala,6.24,20.75,26.98,1.18,0.25,16.27,9.29,0
33,"Tamil Nadu",7.77,31.13,38.89,5.33,0.32,27.68,5.56,0
34,Puducherry,0.07,0.18,0.25,0.01,0,0.14,0.09,0
35,"Andaman and Nicobar Islands",0.02,0.16,0.18,0.01,0.05,0.02,0.09,0
NA,"All India",53.24,355.6,408.84,48.5,19.54,194.17,144.44,2.18
