"Sl No",State/UT,"No Power Needed (Values in Lakh)","Coal (Values in Lakh)","Oil (Values in Lakh)","LPG/CNG (Values in Lakh)","Electricity (Values in Lakh)","Non-Conventional Energy (Values in Lakh)","Traditional Energy/ Firewood (Values in Lakh)","Others (Values in Lakh)","Not Recorded (Values in Lakh)","Total (Values in Lakh)"
1,"Jammu and Kashmir",0.55,0.03,0,0.01,0.45,0,0.09,0.04,0.02,1.18
2,"Himachal Pradesh",0.39,0.01,0.01,0,1.1,0.05,0.02,0.01,0.01,1.6
3,Punjab,1.25,0.03,0.04,0.1,7.93,0.01,0,0.21,0.08,9.66
4,Chandigarh,0,0,0,0,0,0,0,0,0.28,0.28
5,Uttarakhand,0.81,0.08,0.11,0.04,0.79,0.02,0.04,0.06,0.03,2
6,Haryana,0.8,0.01,0.05,0.02,3.91,0,0.04,0.02,0.02,4.87
7,Delhi,0.26,0,0,0,1.41,0,0,0.07,0.01,1.75
8,Rajasthan,3.78,0.09,0.43,0.07,4.4,0.07,0.14,0.1,0.07,9.14
9,"Uttar Pradesh",11.14,0.56,3.99,0.1,5.5,0.02,0.45,0.33,0.23,22.34
10,Bihar,3.93,0.32,1.82,0.05,0.88,0.03,0.14,0.19,0.12,7.48
11,Sikkim,0,0,0,0,0,0,0,0,0.06,0.06
12,"Arunachal Pradesh",0.04,0,0.04,0,0.12,0,0,0.03,0.01,0.25
13,Nagaland,0.09,0,0.01,0,0.05,0,0.01,0,0,0.16
14,Manipur,0.03,0,0,0,0.08,0,0,0,0.33,0.44
15,Mizoram,0,0,0,0,0.03,0,0,0,0.06,0.1
16,Tripura,0.08,0,0,0,0.16,0,0.01,0,0,0.26
17,Meghalaya,0.28,0,0.01,0,0.14,0,0.02,0.01,0,0.47
18,Assam,1.11,0.04,0.29,0.02,0.43,0.03,0.03,0.12,0.05,2.14
19,"West Bengal",10.55,0.92,0.39,0.17,6.69,0,0.87,0.5,0.7,20.8
20,Jharkhand,2.38,0.16,0.61,0.02,0.76,0.02,0.14,0.08,0.08,4.25
21,Orissa,4.34,0.24,1,0.08,3.4,0,0.37,0.28,0.06,9.77
22,Chhattisgarh,2.05,0.04,0.06,0,0.41,0,0.08,0.06,0.08,2.78
23,"Madhya Pradesh",6.83,0.26,0.19,0.02,3.55,0.05,0.27,0.25,0.09,11.5
24,Gujarat,2.02,0.2,0.82,0.24,9.31,0.05,0.1,0.29,0,13.03
25,"Daman & Diu",0,0,0,0,0.01,0,0,0,0,0.01
26,"Dadar and Nagar Haveli",0,0,0,0,0.04,0,0,0,0,0.04
27,Maharashtra,3.79,0.1,0.26,0.06,9.81,0.02,0.07,0.23,0.13,14.45
28,"Andhra Pradesh",4.54,0.2,0.07,0.06,9.33,0.12,0.15,0.17,0.28,14.9
29,Karnataka,7.06,0.12,0.07,0.02,3.32,0.01,0.28,0.18,0.06,11.12
30,Goa,0.15,0,0.02,0,0.36,0,0.03,0,0,0.56
31,Lakshadweep,0,0,0,0,0,0,0,0,0.01,0.01
32,Kerala,3.13,0.09,0.06,0.1,9.07,0.03,0.3,0.14,0.03,12.94
33,"Tamil Nadu",5.29,0.04,0.15,0.01,12.2,0.02,0.22,0.25,0.04,18.21
34,Puducherry,0.04,0.01,0,0,0.05,0,0.01,0.02,0,0.13
35,"Andaman and Nicobar Islands",0,0,0,0,0.07,0,0,0,0,0.07
NA,"All India",76.68,3.57,10.52,1.18,95.73,0.57,3.88,3.66,2.95,198.74
