Sl.No.,State/UT,"Manufacturing/ Assembly/Processing (Number in Lakhs)","Services (Number in Lakhs)","Repairing & Maintenance (Number in Lakhs)","Total (Number in Lakhs)"
1,"Jammu and Kashmir",0.81,0.33,0.05,1.18
2,"Himachal Pradesh",1.02,0.55,0.03,1.6
3,Punjab,3.38,5.69,0.58,9.66
4,Chandigarh,0.05,0.23,0,0.28
5,Uttarakhand,1.06,0.81,0.13,2
6,Haryana,1.83,2.77,0.27,4.87
7,Delhi,0.29,1.45,0.01,1.75
8,Rajasthan,5.26,3.61,0.27,9.14
9,"Uttar Pradesh",14.1,7.5,0.73,22.34
10,Bihar,4.45,2.83,0.2,7.48
11,Sikkim,0.02,0.04,0,0.06
12,"Arunachal Pradesh",0.16,0.09,0.01,0.25
13,Nagaland,0.16,0,0,0.16
14,Manipur,0.27,0.16,0.01,0.44
15,Mizoram,0.07,0.02,0,0.1
16,Tripura,0.11,0.13,0.03,0.26
17,Meghalaya,0.33,0.13,0.01,0.47
18,Assam,1.14,0.93,0.07,2.14
19,"West Bengal",10.37,9.69,0.73,20.8
20,Jharkhand,2.53,1.49,0.23,4.25
21,Orissa,6.46,3.08,0.23,9.77
22,Chhattisgarh,1.55,1.15,0.08,2.78
23,"Madhya Pradesh",7.2,3.8,0.5,11.5
24,Gujarat,4.29,4.72,4.01,13.03
25,"Daman & Diu",0,0.01,0,0.01
26,"Dadar and Nagar Haveli",0.01,0.03,0,0.04
27,Maharashtra,6.08,7.4,0.98,14.45
28,"Andhra Pradesh",7.24,5.92,1.74,14.9
29,Karnataka,7.55,3.31,0.26,11.12
30,Goa,0.32,0.24,0,0.56
31,Lakshadweep,0.01,0.01,0,0.01
32,Kerala,6.11,6.44,0.39,12.94
33,"Tamil Nadu",10.2,7.24,0.77,18.21
34,Puducherry,0.03,0.09,0.01,0.13
35,"Andaman and Nicobar Islands",0.02,0.04,0.01,0.07
NA,"All India",104.5,81.93,12.31,198.74
