"Sl No",State/UT,"Hindu (Values in Lakh)","Muslim (Values in Lakh)","Sikh (Values in Lakh)","Christian (Values in Lakh)","Jain (Values in Lakh)","Buddhist (Values in Lakh)","Others (Values in Lakh)","Not Recorded (Values in Lakh)","Total (Values in Lakh)"
1,"Jammu and Kashmir",0.34,0.8,0.02,0.01,0,0,0.01,0,1.18
2,"Himachal Pradesh",1.54,0.03,0.01,0,0,0,0,0,1.6
3,Punjab,4.24,0.11,5.15,0.08,0,0,0.07,0,9.66
4,Chandigarh,0,0,0,0,0,0,0,0.28,0.28
5,Uttarakhand,1.54,0.42,0.02,0.01,0,0,0,0,2
6,Haryana,4.49,0.18,0.14,0.02,0,0,0.03,0,4.87
7,Delhi,1.24,0.33,0.03,0,0.01,0,0.14,0,1.75
8,Rajasthan,7.96,0.96,0.06,0.08,0.06,0,0.02,0,9.14
9,"Uttar Pradesh",16.57,5.03,0.1,0.57,0,0,0.07,0,22.34
10,Bihar,6.41,1.01,0,0.03,0,0,0.03,0,7.48
11,Sikkim,0,0,0,0,0,0,0,0.06,0.06
12,"Arunachal Pradesh",0.03,0,0,0.03,0,0.05,0.14,0,0.25
13,Nagaland,0.02,0,0,0.15,0,0,0,0,0.16
14,Manipur,0.1,0.02,0,0,0,0,0,0.33,0.44
15,Mizoram,0,0,0,0.03,0,0,0,0.06,0.1
16,Tripura,0.25,0,0,0,0,0.01,0,0,0.26
17,Meghalaya,0.05,0.01,0,0.34,0,0,0.07,0,0.47
18,Assam,1.63,0.43,0.02,0.05,0,0,0,0,2.14
19,"West Bengal",16.12,4.42,0.02,0.14,0,0.03,0.07,0,20.8
20,Jharkhand,3.14,0.88,0.04,0.12,0,0,0.07,0,4.25
21,Orissa,9.2,0.33,0.01,0.18,0,0,0.06,0,9.77
22,Chhattisgarh,2.6,0.14,0.01,0.01,0,0,0.01,0,2.78
23,"Madhya Pradesh",10.01,1.21,0.06,0.09,0.09,0,0.03,0,11.5
24,Gujarat,12.32,0.61,0.02,0.05,0.02,0,0,0,13.03
25,"Daman & Diu",0.01,0,0,0,0,0,0,0,0.01
26,"Dadar and Nagar Haveli",0.03,0,0,0,0,0,0.02,0,0.04
27,Maharashtra,10.59,2.08,0.09,0.78,0.06,0.27,0.59,0,14.45
28,"Andhra Pradesh",13.17,1.21,0.26,0.19,0.02,0,0.04,0,14.9
29,Karnataka,9.41,1.48,0.03,0.15,0.03,0,0.03,0,11.12
30,Goa,0.37,0.03,0,0.16,0,0,0,0,0.56
31,Lakshadweep,0,0,0,0,0,0,0,0.01,0.01
32,Kerala,8.16,3,0,1.71,0,0,0.07,0,12.94
33,"Tamil Nadu",15.76,0.78,0.07,1.45,0.02,0,0.11,0,18.21
34,Puducherry,0.13,0,0,0,0,0,0,0,0.13
35,"Andaman and Nicobar Islands",0.02,0,0,0.04,0,0,0,0,0.07
NA,"All India",157.45,25.54,6.16,6.46,0.34,0.36,1.68,0.75,198.74
