Sl.No.,State/UT,"No Power Needed",Coal,Oil,LPG/CNG,Electricity,"Non-Conventional Energy","Traditional energy/Fire wood",Others,Total
1,"JAMMU & KASHMIR",4686,674,324,83,7883,48,557,738,14993
2,"HIMACHAL PRADESH",1244,97,57,22,10298,61,96,56,11931
3,PUNJAB,4911,1577,392,94,40451,58,226,401,48110
4,CHANDIGARH,31,4,10,1,945,0,2,3,996
5,UTTARAKHAND,5842,467,2115,316,13871,25,819,310,23765
6,HARYANA,3729,487,582,97,27258,72,383,542,33150
7,DELHI,104,7,16,18,3555,18,6,30,3754
8,RAJASTHAN,10214,1143,1035,175,40866,40,847,565,54885
9,"UTTAR PRADESH",69901,2680,26044,1088,83465,273,1788,2503,187742
10,BIHAR,23726,1995,11784,437,10156,273,466,1199,50036
11,SIKKIM,10,1,2,2,98,0,5,4,122
12,"ARUNACHAL PRADESH",58,8,65,0,260,4,17,5,417
13,NAGALAND,96,19,29,2,966,67,67,86,1332
14,MANIPUR,860,23,281,5,2556,4,230,533,4492
15,MIZORAM,498,17,73,24,2819,2,226,56,3715
16,TRIPURA,213,115,19,11,818,20,92,55,1343
17,MEGHALAYA,1547,73,50,2,881,1,315,141,3010
18,ASSAM,7423,458,258,94,9997,121,736,777,19864
19,"WEST BENGAL",8889,4561,1266,274,25935,33,1583,718,43259
20,JHARKHAND,6309,1246,1319,78,8255,67,348,568,18190
21,ORISSA,2346,564,1008,112,15037,13,341,185,19606
22,CHHATTISGARH,15066,474,118,58,6001,12,710,329,22768
23,"MADHYA PRADESH",54298,4033,1660,206,43585,185,1862,1168,106997
24,GUJARAT,3620,277,381,205,224867,49,131,300,229830
25,"DAMAN & DIU",4,0,1,0,588,0,0,1,594
26,"DADRA & NAGAR HAVELI",2,2,0,0,1690,0,0,22,1716
27,MAHARASHTRA,3208,1106,1057,449,79677,69,430,590,86586
28,"ANDHRA PRADESH",3027,657,187,177,41094,79,247,224,45692
29,KARNATAKA,43385,1349,1448,651,81073,560,3355,4365,136186
30,GOA,111,4,11,14,2368,3,80,30,2621
31,LAKSHADWEEP,2,0,0,0,0,0,0,0,2
32,KERALA,32837,220,504,1301,107717,295,4961,2353,150188
33,"TAMIL NADU",70752,439,986,617,152264,450,2408,5965,233881
34,PUDUCHERRY,216,6,7,24,1091,1,59,47,1451
35,"ANDAMAN & NICOBAR ISLANDS",69,10,58,2,589,1,11,10,750
NA,"All India",379234,24793,53147,6639,1048974,2904,23404,24879,1563974
