Sl.No.,State/UT,Micro,Small,Medium,Total
1,"JAMMU & KASHMIR",14572,408,13,14993
2,"HIMACHAL PRADESH",11522,384,25,11931
3,PUNJAB,45345,2675,90,48110
4,CHANDIGARH,967,28,1,996
5,UTTARAKHAND,23349,389,27,23765
6,HARYANA,30741,2329,80,33150
7,DELHI,3510,236,8,3754
8,RAJASTHAN,52241,2541,103,54885
9,"UTTAR PRADESH",184503,3089,150,187742
10,BIHAR,49867,157,12,50036
11,SIKKIM,110,12,0,122
12,"ARUNACHAL PRADESH",399,16,2,417
13,NAGALAND,1298,33,1,1332
14,MANIPUR,4480,12,0,4492
15,MIZORAM,3663,51,1,3715
16,TRIPURA,1296,43,4,1343
17,MEGHALAYA,2972,37,1,3010
18,ASSAM,19238,599,27,19864
19,"WEST BENGAL",41420,1758,81,43259
20,JHARKHAND,17699,471,20,18190
21,ORISSA,18840,745,21,19606
22,CHHATTISGARH,22402,356,10,22768
23,"MADHYA PRADESH",105998,950,49,106997
24,GUJARAT,196894,31676,1260,229830
25,"DAMAN & DIU",413,167,14,594
26,"DADRA & NAGAR HAVELI",1671,45,0,1716
27,MAHARASHTRA,73936,12459,191,86586
28,"ANDHRA PRADESH",42708,2949,35,45692
29,KARNATAKA,133524,2562,100,136186
30,GOA,2395,207,19,2621
31,LAKSHADWEEP,2,0,0,2
32,KERALA,148497,1611,80,150188
33,"TAMIL NADU",226285,7349,247,233881
34,PUDUCHERRY,1275,165,11,1451
35,"ANDAMAN & NICOBAR ISLANDS",736,14,0,750
NA,"All India",1484768,76523,2683,1563974
