"Sl No",State/UT,"Female (Numbers in Lakh)","Male (Numbers in Lakh)","Not Recorded (Numbers in Lakh)","Total (Numbers in Lakh)","SC (Numbers in Lakh)","ST (Numbers in Lakh)","OBC (Numbers in Lakh)","Others (Numbers in Lakh)"
1,"Jammu and Kashmir",0.12,1.06,0.03,1.18,0.08,0.06,0.08,0.94
2,"Himachal Pradesh",0.11,1.48,0.01,1.60,0.64,0.09,0.15,0.7
3,Punjab,0.78,8.84,0.11,9.66,1.68,0.05,3.53,4.29
4,Chandigarh,0.06,0.22,0.00,0.28,0.27,0.01,0,0
5,Uttarakhand,0.15,1.84,0.02,2.00,0.4,0.1,0.34,1.13
6,Haryana,0.16,4.67,0.33,4.87,0.51,0.07,2.1,1.85
7,Delhi,0.19,1.49,0.03,1.75,0.07,0.07,0.1,1.48
8,Rajasthan,0.55,8.57,0.15,9.14,1.16,0.61,4.82,2.38
9,"Uttar Pradesh",0.75,21.56,0.33,22.34,2.6,0.11,12.04,7.26
10,Bihar,0.47,6.98,0.17,7.48,1.18,0.09,4.72,1.32
11,Sikkim,0.01,0.05,0.00,0.06,0.05,0.01,0,0
12,"Arunachal Pradesh",0.06,0.19,0.02,0.25,0,0.21,0,0.01
13,Nagaland,0.04,0.12,0.01,0.16,0,0.14,0,0.01
14,Manipur,0.01,0.42,0.02,0.44,0.16,0.15,0.02,0.1
15,Mizoram,0.01,0.08,0.00,0.10,0.06,0.03,0,0
16,Tripura,0.02,0.24,0.00,0.26,0.03,0.02,0.08,0.13
17,Meghalaya,0.16,0.31,0.00,0.47,0.01,0.42,0,0.04
18,Assam,0.2,1.93,0.09,2.14,0.24,0.28,0.44,1.09
19,"West Bengal",2.05,18.27,0.70,20.80,4.05,0.33,2.61,13.11
20,Jharkhand,0.24,4.01,0.04,4.25,0.2,0.67,2.21,1.14
21,Orissa,0.9,8.86,0.19,9.77,1.04,1.59,3.97,2.98
22,Chhattisgarh,0.12,2.66,0.03,2.78,0.36,0.53,1.49,0.36
23,"Madhya Pradesh",1.06,10.42,0.32,11.50,1.62,0.98,6.02,2.56
24,Gujarat,0.57,12.46,0.00,13.03,2.2,2.1,3.75,4.98
25,"Daman & Diu",0,0.01,0.00,0.01,0,0,0,0.01
26,"Dadar and Nagar Haveli",0,0.04,0.00,0.04,0,0,0,0.04
27,Maharashtra,0.85,13.57,0.22,14.45,0.72,0.41,4.89,8.21
28,"Andhra Pradesh",1.11,13.69,0.24,14.90,0.61,0.23,9.36,4.47
29,Karnataka,1.86,9.26,0.06,11.12,0.6,0.52,6.03,3.9
30,Goa,0.1,0.46,0.00,0.56,0,0,0.05,0.51
31,Lakshadweep,0,0.01,0.00,0.01,0.01,0,0,0
32,Kerala,2.31,10.63,0.07,12.94,0.46,0.06,8.05,4.31
33,"Tamil Nadu",3.03,15.15,0.07,18.21,1.58,0.34,14.22,1.99
34,Puducherry,0.02,0.1,0.00,0.13,0.01,0,0.1,0.01
35,"Andaman and Nicobar Islands",0,0.06,0.00,0.07,0,0,0,0.07
NA,"All India",18.06,179.74,3.27,198.74,22.61,10.3,91.17,71.39
