"Sl. No","State/UT ","Perennial (Number in Lakhs)","Seasonal (Number in Lakhs)","Casual (Number in Lakhs)","Not Recorded (Number in Lakhs)","Total (Number in Lakhs)"
1,"Jammu and Kashmir",1.14,0.02,0.02,0,1.18
2,"Himachal Pradesh",1.4,0.12,0.09,0,1.6
3,Punjab,9.07,0.2,0.34,0.05,9.66
4,Chandigarh,0,0,0,0.28,0.28
5,Uttarakhand,1.74,0.18,0.07,0,2
6,Haryana,4.77,0.07,0.02,0.01,4.87
7,Delhi,1.59,0,0.01,0.15,1.75
8,Rajasthan,8.92,0.13,0.08,0.01,9.14
9,"Uttar Pradesh",21.17,1.03,0.1,0.05,22.34
10,Bihar,6.78,0.42,0.21,0.06,7.48
11,Sikkim,0,0,0,0.06,0.06
12,"Arunachal Pradesh",0.21,0.03,0,0,0.25
13,Nagaland,0.13,0.02,0.02,0,0.16
14,Manipur,0.11,0.01,0,0.33,0.44
15,Mizoram,0.03,0,0,0.06,0.1
16,Tripura,0.26,0,0,0,0.26
17,Meghalaya,0.37,0.04,0.06,0,0.47
18,Assam,2.06,0.02,0,0.05,2.14
19,"West Bengal",19.9,0.29,0.1,0.51,20.8
20,Jharkhand,4.16,0.07,0.02,0,4.25
21,Orissa,9.18,0.36,0.21,0.02,9.77
22,Chhattisgarh,2.63,0.11,0.03,0.01,2.78
23,"Madhya Pradesh",10.79,0.55,0.14,0.02,11.5
24,Gujarat,12.81,0.13,0.09,0,13.03
25,"Daman & Diu",0.01,0,0,0,0.01
26,"Dadar and Nagar Haveli",0.04,0,0,0,0.04
27,Maharashtra,13.5,0.76,0.17,0.03,14.45
28,"Andhra Pradesh",13.09,0.34,1.39,0.08,14.9
29,Karnataka,9.92,0.68,0.5,0.01,11.12
30,Goa,0.56,0,0,0,0.56
31,Lakshadweep,0,0,0,0.01,0.01
32,Kerala,12.59,0.3,0.03,0.02,12.94
33,"Tamil Nadu",17.12,0.53,0.54,0.02,18.21
34,Puducherry,0.12,0,0,0,0.13
35,"Andaman and Nicobar Islands",0.07,0,0,0,0.07
NA,"All India",186.24,6.42,4.23,1.85,198.74
