"Sl No",State/UT,"Proprietary (Numbers in Lakhs)","Partnership (Numbers in Lakhs)","Private Co. (Numbers in Lakhs)","Co-operative (Numbers in Lakhs)","Others (Numbers in Lakhs)","Not Recorded (Numbers in Lakhs)","Total (Numbers in Lakhs)"
1,"Jammu and Kashmir",0.98,0.02,0,0,0.02,0.17,1.18
2,"Himachal Pradesh",1.52,0.01,0,0,0,0.06,1.6
3,Punjab,9.22,0.2,0,0,0.04,0.19,9.66
4,Chandigarh,0,0,0,0,0,0.28,0.28
5,Uttarakhand,1.96,0.01,0,0,0,0.02,2
6,Haryana,4.3,0.07,0,0,0.31,0.18,4.87
7,Delhi,1.5,0.02,0.01,0,0.19,0.03,1.75
8,Rajasthan,8.6,0.04,0,0.05,0.14,0.31,9.14
9,"Uttar Pradesh",21.32,0.3,0,0,0.09,0.62,22.34
10,Bihar,6.81,0.1,0,0.03,0.33,0.21,7.48
11,Sikkim,0,0,0,0,0,0.06,0.06
12,"Arunachal Pradesh",0.2,0,0,0.01,0,0.04,0.25
13,Nagaland,0.14,0,0,0,0,0.03,0.16
14,Manipur,0.11,0,0,0,0,0.33,0.44
15,Mizoram,0.03,0,0,0,0,0.06,0.1
16,Tripura,0.26,0,0,0,0,0,0.26
17,Meghalaya,0.43,0,0,0,0,0.04,0.47
18,Assam,2.01,0.06,0,0,0.02,0.05,2.14
19,"West Bengal",19.75,0.32,0.01,0.01,0.05,0.65,20.8
20,Jharkhand,4.02,0.05,0,0,0.01,0.18,4.25
21,Orissa,9.49,0.05,0,0,0.08,0.15,9.77
22,Chhattisgarh,2.72,0.02,0,0,0,0.04,2.78
23,"Madhya Pradesh",10.7,0.06,0,0.01,0.58,0.16,11.5
24,Gujarat,12.93,0.09,0,0,0,0,13.03
25,"Daman & Diu",0.01,0,0,0,0,0,0.01
26,"Dadar and Nagar Haveli",0.02,0,0,0,0,0.02,0.04
27,Maharashtra,13.69,0.23,0,0.05,0.07,0.42,14.45
28,"Andhra Pradesh",14.29,0.04,0,0.02,0.23,0.32,14.9
29,Karnataka,10.54,0.22,0,0.01,0.02,0.34,11.12
30,Goa,0.53,0.02,0,0,0.01,0,0.56
31,Lakshadweep,0,0,0,0,0,0.01,0.01
32,Kerala,12.34,0.42,0,0,0.08,0.1,12.94
33,"Tamil Nadu",16.47,0.3,0.02,0.03,0.33,1.06,18.21
34,Puducherry,0.13,0,0,0,0,0,0.13
35,"Andaman and Nicobar Islands",0.06,0,0,0,0,0,0.07
NA,"All India",187.07,2.65,0.06,0.23,2.58,6.15,198.74
