"S. No","State /UT","Number of Enterprises (Lakhs)","Employment (Lakhs)","Original Value of Plant & Machinery (Value In Crore)","Market Value of Fixed Assets (Value In Crore)","Gross Output (Value In Crore)","Total Input (Value In Crore)","Gross Value Added ( Value In Crore )","Net Worth (Value In Crore)"
1,"Jammu and Kashmir",1.18,2.17,407.36,1110.36,1518.61,751.79,766.83,1206.88
2,"Himachal Pradesh",1.6,2.27,1541.67,2513.53,5460.91,4134.52,1326.39,1837.4
3,Punjab,9.66,14.16,3704.74,14261.9,19525.78,10438.92,9086.86,16286.66
4,Chandigarh,0.28,0.58,73.59,182.13,204.1,66.42,137.68,168.51
5,Uttarakhand,2,3.62,2012.4,2578.52,2817.28,1351.79,1465.49,2795.55
6,Haryana,4.87,8.41,2244.9,7028.27,9435.71,3784.53,5651.18,6755.6
7,Delhi,1.75,5.94,1555.41,7700.29,10201.24,6460.01,3741.23,7076.59
8,Rajasthan,9.14,15,3044.07,9294.17,10602.2,4208.63,6393.57,10301.26
9,"Uttar Pradesh",22.34,51.76,8409.84,22495.02,37024.52,15958.03,21066.49,25725.43
10,Bihar,7.48,15.97,2321.93,4730.99,12047.77,6557.93,5489.84,6303.3
11,Sikkim,0.06,0.56,14.8,44.34,138.39,46.2,92.19,55
12,"Arunachal Pradesh",0.25,0.82,204.35,393.7,864.52,316.1,548.42,500.36
13,Nagaland,0.16,1,201.23,555.34,1448.99,719.06,729.94,1729.25
14,Manipur,0.44,1.38,173.83,549.27,894.9,540.22,354.67,606.11
15,Mizoram,0.1,0.3,59.19,106.19,367.31,238.69,128.62,322.33
16,Tripura,0.26,0.53,187.9,335.16,569.54,302.7,266.84,420.56
17,Meghalaya,0.47,1.04,206.56,334.01,703.49,258.31,445.18,477.01
18,Assam,2.14,4.48,847.44,1073.75,4014.07,2139.29,1874.78,1972.44
19,"West Bengal",20.8,54.93,7464.93,28053.84,51973.44,26313.85,25659.58,33126.97
20,Jharkhand,4.25,8.24,1134.22,1474.07,5870.19,2211.54,3658.65,2813.43
21,Orissa,9.77,21.94,3616.37,6923.34,14329.34,7741.3,6588.04,8737.45
22,Chhattisgarh,2.78,4.68,486.2,1109.84,2255.07,852.2,1402.87,1664.39
23,"Madhya Pradesh",11.5,17.32,1853.19,3696.2,8196.84,2223.92,5972.92,4538.3
24,Gujarat,13.03,21.97,4926.73,14884.85,16868.47,3143.18,13725.28,20240.97
25,"Daman & Diu",0.01,0.03,10.6,17.93,22.84,7.52,15.32,15.88
26,"Dadar and Nagar Haveli",0.04,0.07,17.93,50.62,100.29,38.88,61.41,88.53
27,Maharashtra,14.45,24.72,6679.53,13575.87,16159.47,5695.86,10463.61,13711.3
28,"Andhra Pradesh",14.9,35.15,9973.16,21005.47,28302.56,12344.53,15958.03,28177.44
29,Karnataka,11.12,22.58,8023.29,12342.38,15257.34,7184.09,8073.25,11923.1
30,Goa,0.56,0.87,346.42,569.8,1519.89,733.09,786.79,722.95
31,Lakshadweep,0.01,0.05,9.48,17.3,20.01,9.04,10.97,34.78
32,Kerala,12.94,26.98,10689.03,27136.43,50699.08,34140.67,16558.41,29450.58
33,"Tamil Nadu",18.21,38.89,12139.64,34528.18,39988.26,16165.73,23822.53,39576.65
34,Puducherry,0.13,0.25,38.58,83.81,157.66,37.19,120.46,87.48
35,"Andaman and Nicobar Islands",0.07,0.18,19.13,59.62,142.49,49.53,92.96,83.55
NA,"All India",198.74,408.84,94639.6,240816.46,369702.59,177165.27,192537.32,279533.97
