"Sl. No.",State/UT,Hindu,Muslim,Sikh,Christian,Jain,Buddhist,Others,Total
1,"JAMMU & KASHMIR",5665,8065,376,107,25,99,656,14993
2,"HIMACHAL PRADESH",11138,150,299,34,11,44,255,11931
3,PUNJAB,21809,1344,22381,336,280,6,1954,48110
4,CHANDIGARH,655,21,262,3,8,0,47,996
5,UTTARAKHAND,20890,1970,349,64,40,7,445,23765
6,HARYANA,29437,1035,1516,99,176,16,871,33150
7,DELHI,3468,12,101,23,7,0,143,3754
8,RAJASTHAN,43794,6239,606,174,2017,4,2051,54885
9,"UTTAR PRADESH",144366,39938,1477,436,482,16,1027,187742
10,BIHAR,41366,6005,102,91,27,4,2441,50036
11,SIKKIM,81,2,0,7,0,18,14,122
12,"ARUNACHAL PRADESH",97,193,4,37,0,63,23,417
13,NAGALAND,121,41,9,1086,9,3,63,1332
14,MANIPUR,3241,121,6,1072,6,1,45,4492
15,MIZORAM,53,27,14,3594,0,2,25,3715
16,TRIPURA,1256,33,22,5,0,4,23,1343
17,MEGHALAYA,116,658,0,2182,2,0,52,3010
18,ASSAM,15859,2968,171,217,224,14,411,19864
19,"WEST BENGAL",36131,5448,107,145,81,73,1274,43259
20,JHARKHAND,13884,3056,181,147,33,2,887,18190
21,ORISSA,18015,663,118,139,13,1,657,19606
22,CHHATTISGARH,20166,1094,250,438,188,21,611,22768
23,"MADHYA PRADESH",93751,9750,579,434,1522,87,874,106997
24,GUJARAT,202395,3472,18089,5873,0,1,0,229830
25,"DAMAN & DIU",572,10,1,3,8,0,0,594
26,"DADRA & NAGAR HAVELI",1716,0,0,0,0,0,0,1716
27,MAHARASHTRA,76159,3984,461,1088,1932,413,2549,86586
28,"ANDHRA PRADESH",39379,3439,647,915,46,23,1243,45692
29,KARNATAKA,117711,13698,522,1921,608,47,1679,136186
30,GOA,1860,86,6,536,11,4,118,2621
31,LAKSHADWEEP,2,0,0,0,0,0,0,2
32,KERALA,91800,19941,1374,34436,77,75,2485,150188
33,"TAMIL NADU",211494,8916,1725,8745,271,43,2687,233881
34,PUDUCHERRY,1277,88,4,46,16,2,18,1451
35,"ANDAMAN & NICOBAR ISLANDS",563,69,10,42,2,3,61,750
NA,"All India",1270287,142536,51769,64475,8122,1096,25689,1563974
