"State/UT Code ","State/UT Name                      ",WORKING,CLOSED,NON-TRACEABLE,TOTAL
1,"JAMMU & KASHMIR",14993,1831,1521,18345
2,"HIMACHAL PRADESH",11931,4034,767,16732
3,PUNJAB,48110,24553,4868,77531
4,CHANDIGARH,996,559,271,1826
5,UTTARAKHAND,23765,8219,2419,34403
6,HARYANA,33150,10973,4120,48243
7,DELHI,3754,0,0,3754
8,RAJASTHAN,54885,17342,4752,76979
9,"UTTAR PRADESH",187742,80616,35231,303589
10,BIHAR,50036,16344,4291,70671
11,SIKKIM,122,86,0,208
12,"ARUNACHAL PRADESH",417,167,31,615
13,NAGALAND,1332,2395,0,3727
14,MANIPUR,4492,929,0,5421
15,MIZORAM,3715,669,595,4979
16,TRIPURA,1343,424,138,1905
17,"MEGHALAYA ",3010,665,467,4142
18,ASSAM,19864,6266,4209,30339
19,"WEST BENGAL",43259,10708,10644,64611
20,JHARKHAND,18190,3712,5711,27613
21,ORISSA,19606,5744,1123,26473
22,CHHATTISGARH,22768,15485,4609,42862
23,"MADHYA PRADESH",106997,36502,10957,154456
24,GUJARAT,229830,34945,22745,287520
25,"DAMAN & DIU",594,24,27,645
26,"DADRA & NAGAR HAVELI ",1716,0,110,1826
27,MAHARASHTRA,86586,41856,34383,162825
28,"ANDHRA PRADESH ",45692,2250,991,48933
29,KARNATAKA,136186,47581,7648,191415
30,GOA,2621,2754,1771,7146
31,LAKSHADWEEP,2,0,0,2
32,KERALA,150188,34903,18389,203480
33,"TAMIL NADU",233881,82966,4530,321377
34,PUDUCHERRY,1451,711,222,2384
35,"ANDAMAN & NICOBAR ILS.",750,142,142,1034
NA,"All India ",1563974,496355,187682,2248011
