"Sl. No.",Characteristics,"Third Census (2001-02) (Numbers)","Fourth Census (2006-07) (Numbers)","Third Census (2001-02)(Percent)","Fourth Census (2006-07)(Percent)"
1,"Size of the Sector(in Lakh)",91.46,198.74,100,100
2,"Number of Rural Units(in Lakh)",51.99,119.69,56.84,60.22
3,"Number of Urban Units(in Lakh)",39.47,79.05,43.16,39.78
4,"Micro Enterprises(in Lakh)",NA,198.39,NA,99.83
5,"Small Enterprises(in Lakh)",NA,0.35,NA,0.17
6,"Number of Women Enterprises (in Lakh)",9.26,18.06,10.13,9.09
7,"Nature of Activity : Manufacturing (in Lakh)",33.03,104.5,36.12,52.59
8,"Nature of Activity : Repair and Maintenance (in Lakh)",16.93,12.31,18.5,6.19
9,"Nature of Activity : Services (in Lakh)",41.5,81.93,45.38,41.22
10,"Type of Organization :Proprietary  (in Lakh)",88.63,187.07,96.9,94.13
11,"Type of Organization : Partnership  (in Lakh)",1.04,2.65,1.13,1.33
12,"Type of Organization : Private Company  (in Lakh)",0.38,0.06,0.42,0.03
13,"Type of Organization : Cooperatives  (in Lakh)",0.09,0.23,0.11,0.12
14,"Type of Organization : Others (in Lakh)",1.32,8.73,1.44,4.39
15,"Number of Units Owned by : SC (in Lakh)",9.44,22.61,10.32,11.38
16,"Number of Units Owned by : ST (in Lakh)",4.74,10.3,5.19,5.18
17,"Number of Units Owned by : OBC (in Lakh)",38.11,91.17,41.67,45.87
18,"Number of Units Owned by : Others (in Lakh)",39.17,74.66,42.82,37.57
19,"Number of Units Managed by Women",8.81,17.99,9.63,9.05
20,"Main Source of Power : No Power Needed (in Lakh)",38.55,76.68,42.15,38.59
21,"Main Source of Power : Coal (in Lakh)",2.95,3.57,3.23,1.79
22,"Main Source of Power : Oil (in Lakh)",5.55,10.52,6.07,5.29
23,"Main Source of Power : LPG (in Lakh)",0.55,1.18,0.6,0.59
24,"Main Source of Power : Electricity (in Lakh)",40.25,95.74,44.01,48.18
25,"Main Source of Power : Non-Conventional Energy (in Lakh)",0.61,0.57,0.66,0.29
26,"Main Source of Power : Traditional Energy/Firewood (in Lakh)",3,3.88,3.28,1.95
27,"Main Source of Power : Others (in Lakh)",Null,6.6,0,3.32
28,"Total Employment(in Lakh)",187.69,408.84,NA,NA
29,"Total Original Value of P&M (in  Crore)",24564.92,94639.6,NA,NA
30,"Per Unit Original Value of P&M ((in  Lakh)",0.27,0.48,NA,NA
31,"Total Fixed Investment  (in  Crore)",62556.6,240816.46,NA,NA
32,"Per Unit Fixed Investment (in   Lakh)",0.68,1.21,NA,NA
33,"Per Unit Employment",2.05,2.06,NA,NA
34,"Gross Output (in  Crore)",79015.36,369702.59,NA,NA
35,"Per Unit Gross Output (in  Lakh)",0.86,1.86,NA,NA
36,"Gross Output per  one lakh Fixed Investment(in  lakh)",1.26,1.54,NA,NA
37,"Gross Output per  one lakh Original Value of P&M(in  lakh)",3.22,3.9,NA,NA
38,"Employment per one lakh Fixed Investment",3,1.7,NA,NA
39,"Employment per one lakh Original Value of P&M",7.64,4.32,NA,NA
40,"Employment per one lakh Gross Output",2.38,1.11,NA,NA
