"Sl. No.",Description,Number,Percentage
1,"Total No. of Enterprises - (Lakh)",15.64,NA
2,"No. of Rural Enterprises - (Lakh)",7.07,45.23
3,"No. of Women Enterprises - (Lakh)",2.15,13.72
4,"No. of Micro Enterprises (Lakh)",14.85,94.94
5,"No. of Small Enterprises (Lakh)",0.76,4.89
6,"No. of Medium Enterprises (Lakh)",0.03,0.17
7,"Enterprises Operating Perennialy (Lakh)",15.14,96.81
8,"Enterprises Operating non Perennialy (Lakh)",0.5,3.19
9,"Enterprises involved in Manufacturing (Lakh)",10.49,67.1
10,"Enterprises involved in Repairing & Maintenance (Lakh)",2.52,16.13
11,"Enterprises involved in Services (Lakh)",2.62,16.78
12,"Enterprises needs no Power (Lakh)",3.79,24.25
13,"Enterprises using Coal as Main Source of Power(Lakh)",0.25,1.59
14,"Enterprises using Oil as Main Source of Power(Lakh)",0.53,3.4
15,"Enterprises using LPG/CNG as Main Source of Power(Lakh)",0.07,0.42
16,"Enterprises using Electricity as Main Source of Power(Lakh)",10.49,67.07
17,"Enterprises using Others Sources as Main Source of Power(Lakh)",0.51,3.28
18,"Enterprises by Type of Organization - Proprietary (Lakh)",14.09,90.08
19,"Enterprises by Type of Organization - Partnership  (Lakh)",0.63,4.01
20,"Enterprises by Type of Organization - Private Company  (Lakh)",0.43,2.78
21,"Enterprises by Type of Organization - Public Limited Company  (Lakh)",0.08,0.54
22,"Enterprises by Type of Organization - Co-operatives  (Lakh)",0.05,0.3
23,"Enterprises by Type of Organization - Others (Lakh)",0.36,2.3
24,"Enterprises by Type of Social Category - SC (Lakh)",1.19,7.6
25,"Enterprises by Type of Social Category -ST (Lakh)",0.45,2.87
26,"Enterprises by Type of Social Category -OBC (Lakh)",5.99,38.28
27,"Enterprises by Type of Social Category - Others (Lakh)",8.01,51.26
28,"Enterprises by Religion of Owner - Hindu (Lakh)",12.7,81.22
29,"Enterprises by Religion of Owner - Muslim (Lakh)",1.43,9.11
30,"Enterprises by Religion of Owner - Sikh (Lakh)",0.52,3.31
31,"Enterprises by Religion of Owner - Christian (Lakh)",0.64,4.12
32,"Enterprises by Religion of Owner - Jain (Lakh)",0.08,0.52
33,"Enterprises by Religion of Owner - Buddhist (Lakh)",0.01,0.07
34,"Enterprises by Religion of Owner - Others (Lakh)",0.26,1.64
35,"Employment - (Lakh)",93.09,NA
36,"Employment working in Micro Enterprises (Lakh)",65.34,70.19
37,"Employment working in Small Enterprises (Lakh)",23.43,25.17
38,"Employment working in Medium Enterprises (Lakh)",4.32,4.64
39,"Employment by sex  - Male (Lakh)",74.05,79.55
40,"Employment by sex  - Female (Lakh)",19.04,20.45
41,"Fixed Assets (Crore)",449138,NA
42,"Fixed Assets  - Micro Enterprises (Crore)",169538,37.75
43,"Fixed Assets  - Small Enterprises (Crore)",223503,49.76
44,"Fixed Assets  - Medium Enterprises (Crore)",56097,12.49
45,"Gross Output (Crore )",707510,NA
46,"Gross Output  - Micro Enterprises (Crore)",312973,44.24
47,"Gross Output  - Small Enterprises (Crore)",318794,45.06
48,"Gross Output  - Medium Enterprises (Crore)",75743,10.71
49,"Original Value of Plant and Machinery (Crore)",105025,NA
50,"Net Worth (Crore)",415303,NA
51,"No. Of Exporting Units (Lakh)",0.47,NA
52,"Total amount of Exports  (Crore)",67914,NA
53,"Enterprises by Source of Finance - No Finance / Self Finance (Lakh)",13.64,87.23
54,"Enterprises by Source of Finance - Institutional Source (Lakh)",1.7,10.87
55,"Enterprises by Source of Finance - Non-Institutional Source (Lakh)",0.16,1.05
56,"Enterprises by Source of Finance - Both Institutional and Non-Institutional Source (Lakh)",0.13,0.84
