District,"Sum of TotalEmp","Units Registered"
BAGALKOT,86614,912
BALLARI,6936,966
BELAGAVI,28945,2889
"BENGALURU (RURAL)",11394,1985
"BENGALURU (URBAN)",61792,9595
BIDAR,16597,1073
CHAMARAJNAGAR,2754,463
CHIKBALLAPUR,5064,755
CHIKKAMAGALURU,8055,681
CHITRADURGA,4278,714
"DAKSHIN KANNAD",6188,1705
DAVANGERE,5259,974
DHARWAD,19040,1598
GADAG,4382,549
HASSAN,10664,1020
HAVERI,4058,752
KALABURAGI,6348,1081
KODAGU,1284,348
KOLAR,4554,753
KOPPAL,3174,552
MANDYA,6456,936
MYSURU,10687,1979
RAICHUR,3980,1060
RAMANAGARA,5326,689
SHIVAMOGGA,7017,1185
TUMAKURU,8471,1561
UDUPI,4487,1152
"UTTAR KANNAD",4329,1157
VIJAYANAGAR,6531,348
VIJAYAPURA,9208,1057
YADGIR,14280,422
NA,378152,40911
