Year,Total,Surfaced,"Highways - Total","Highways - Surfaced","Urban Roads - Total","Urban Roads - Surfaced","Project Roads - Total","Project Roads - Surfaced"
2001,2469524,1414547,1993858,1166209,252001,191797,223665,56541
2002,2499906,1451656,2025487,1200102,250295,190252,224124,61302
2003,2601957,1491359,2045370,1207578,297259,214951,259328,68830
2004,2669996,1526055,2107061,1238306,301310,218361,261625,69388
2005,2962463,1596451,2415941,1334875,286707,195277,259815,66299
2006,3014063,1637723,2459886,1370932,291991,200210,262186,66581
2007,3119923,1693500,2550838,1417409,300580,207052,268505,69039
2008,3174620,1745271,2600104,1458341,304327,212750,270189,74180
2009,3571509,2141301,2921091,1809644,373801,258279,276617,73378
2010,3682436,2243312,3001055,1889294,402448,279715,278933,74303
2011,3790344,2341479,3089966,1972740,411839,291894,288539,76845
