Section,"Year of Sanction","Route kilometer","Latest Anticipated Cost (Rs. in Crore)","Expenditure upto March, 2019 (Rs. in Crore)","Budget Outlay 2019-20 (Rs. in Crore)"
Mathura-Kasganj-Kalyanpur,2016-17,338,432.99,294.09,138.9
Kaptanganj-Thawe-Khairah-ChhapraKacheri,2017-18,206,204.97,62.27,77.94
"Kasganj-Bareilly, Bhojipura-Daliganj",2017-18,401,448.01,66.43,100
"Ghazipur - Aunrihar - Manduadih -2nd Line",2015-16,78,43.33,0,14.64
"Bhatni - Aunrihar",2016-17,125,155,0.14,50
"Phephna-Indara, Mau-Shahganj",2016-17,150,180,0,55
MandhanaJn-Brahmavard,2018-19,8,6.98,0,2.79
Duraundha-Maharajganj-Masrakh,2018-19,41,38.19,0,7.64
"Salempur-Barhaj Bazar existing BG line",2018-19,20,13.11,0,3.93
"Gonda- Bahraich",2018-19,60,81.33,0,0.01
"Shahanjahanpur-Pilibhit, Pilibhit-Tanakpur",2018-19,145,176.09,0,0.01
"Gorakhpur-AnandNagar-Gonda&Anand Nagar-Nautanwa",2018-19,262,202.94,0,0.01
"Moradabad-Kashipur-Ramnagar, Rampur-Lalkua-Kathgodam incl. Lalkua-Kashipur and Bareilly-Lalkua",2018-19,309,263.73,0,47.35
"Paniahwa - Chhitauni - Tamkuhi Road",2018-19,68,61.1,0,0.01
"Hathua-Bathua Bazar- Bhatni New line",2018-19,80,70.35,0,0.01
Total,Total,2291,2378.12,422.93,498.24
