S.No,"Name of station",State
1,Visakhapatnam,"Andhra Pradesh"
2,"Secunderabad Jn.","Andhra Pradesh"
3,Vijayawada,"Andhra Pradesh"
4,Hyderabad,"Andhra Pradesh"
5,Tirupati,"Andhra Pradesh"
6,Kacheguda,"Andhra Pradesh"
7,"SSP Nilayam","Andhra Pradesh"
8,Palasa,"Andhra Pradesh"
9,"Srikakulam Road","Andhra Pradesh"
10,Vizianagaram,"Andhra Pradesh"
11,Anantpur,"Andhra Pradesh"
12,Anakapalle,"Andhra Pradesh"
13,"Bhimavaram Town","Andhra Pradesh"
14,Chirala,"Andhra Pradesh"
15,Cuddapah,"Andhra Pradesh"
16,Eluru,"Andhra Pradesh"
17,"Gudur Jn.","Andhra Pradesh"
18,"Guntakal Jn.","Andhra Pradesh"
19,"Guntur Jn.","Andhra Pradesh"
20,"Kakinada Town","Andhra Pradesh"
21,"Kazipet Jn.","Andhra Pradesh"
22,Khammam,"Andhra Pradesh"
23,"Kurnool Town","Andhra Pradesh"
24,Manchiryal,"Andhra Pradesh"
25,Nellore,"Andhra Pradesh"
26,Nizamabad,"Andhra Pradesh"
27,Ongole,"Andhra Pradesh"
28,Rajahmundry,"Andhra Pradesh"
29,Renigunta,"Andhra Pradesh"
30,"Samalkot Jn.","Andhra Pradesh"
31,Tadepalligudem,"Andhra Pradesh"
32,"Tenali Jn.","Andhra Pradesh"
33,Tuni,"Andhra Pradesh"
34,Warangal,"Andhra Pradesh"
35,Guwahati,Assam
36,"Barpeta Road",Assam
37,Bongaigaon,Assam
38,"Dibrugarh Town",Assam
39,"Jorhat Town",Assam
40,Kamakya,Assam
41,Lumding,Assam
42,"Rangiya Jn.",Assam
43,Tinsukia,Assam
44,Silchar,Assam
45,"Darbhanga Jn.",Bihar
46,"Gaya Jn.",Bihar
47,"Muzaffarpur Jn.",Bihar
48,"Patna Jn.",Bihar
49,"Chhapra Jn.",Bihar
50,Bhagalpur,Bihar
51,"Anugraha Narayan Road",Bihar
52,"Ara Jn.",Bihar
53,"Bhaktiarpur Jn.",Bihar
54,"Barauni Jn.",Bihar
55,Betiah,Bihar
56,Buxar,Bihar
57,Danapur,Bihar
58,Dehri-on-Sone,Bihar
59,"Hajipur Jn",Bihar
60,Jamui,Bihar
61,Jayanagar,Bihar
62,"Khagaria Jn.",Bihar
63,"Kiul Jn.",Bihar
64,Madhubani,Bihar
65,Mokama,Bihar
66,Bapudham,Bihar
67,Motihari,Bihar
68,"Narkatiaganj Jn.",Bihar
69,"Patna Sahib Jn.",Bihar
70,"Rajendra Nagar (T)",Bihar
71,"Raxaul Jn.",Bihar
72,"Sagauli Jn.",Bihar
73,"Saharsa Jn.",Bihar
74,"Samastipur Jn.",Bihar
75,"Sasaram Jn.",Bihar
76,"Sivan Jn.",Bihar
77,Jogbani,Bihar
78,"Katihar Jn.",Bihar
79,Kishanganj,Bihar
80,"Purnea Jn.",Bihar
81,Raiganj,Bihar
82,Jamalpur,Bihar
83,Raipur,"Chhattis -garh"
84,"Bilaspur Jn.","Chhattis -garh"
85,"Bhilai Power House","Chhattis -garh"
86,"Champa Jn.","Chhattis -garh"
87,Durg,"Chhattis -garh"
88,Raigarh,"Chhattis -garh"
89,Rajnandgaon,"Chhattis -garh"
90,"Delhi Jn.",Delhi
91,"New Delhi",Delhi
92,"Hazrat Nizamuddin",Delhi
93,"Anand Vihar Terminal",Delhi
94,"Adarshnagar Delhi",Delhi
95,"Delhi Cantt.",Delhi
96,"Delhi Sarai Rohilla",Delhi
97,"Delhi Shahdra",Delhi
98,Vasco-Da-Gama,Goa
99,Ahmedabad,Gujarat
100,Vododara,Gujarat
101,Rajkot,Gujarat
102,Surat,Gujarat
103,Anand,Gujarat
104,Ankleshwar,Gujarat
105,Bharuch,Gujarat
106,"Bhavnagar Terminus",Gujarat
107,Gandhidham,Gujarat
108,Jamnagar,Gujarat
109,Mahesana,Gujarat
110,Nadiad,Gujarat
111,Navsari,Gujarat
112,"New Bhuj",Gujarat
113,Palanpur,Gujarat
114,Surendranagar,Gujarat
115,Udhana,Gujarat
116,Valsad,Gujarat
117,Vapi,Gujarat
118,Veraval,Gujarat
119,Viramgam,Gujarat
120,"Ambala Cantt.",Haryana
121,Ballabgarh,Haryana
122,Faridabad,Haryana
123,Gurgaon,Haryana
124,Jagadhri,Haryana
125,Kalka,Haryana
126,Karnal,Haryana
127,Panipat,Haryana
128,Rohtak,Haryana
129,Sonipat,Haryana
130,Bhiwani,Haryana
131,Hisar,Haryana
132,Rewari,Haryana
132,Rewari,Haryana
133,"Jammu Tawi","Jammu & Kashmir"
134,Udhampur,"Jammu & Kashmir"
135,"Dhanbad Jn.",Jharkhand
136,Tatanagar,Jharkhand
137,Daltonganj,Jharkhand
138,"Gomoh Jn.",Jharkhand
139,Koderma,Jharkhand
140,Parasnath,Jharkhand
141,Jasidih,Jharkhand
142,Madhupur,Jharkhand
143,"Bokaro Steel City",Jharkhand
144,Hatia,Jharkhand
145,Ranchi,Jharkhand
146,"Bangalore City",Karnataka
147,Yashwantpur,Karnataka
148,Gulbarga,Karnataka
149,"Mangalore Central",Karnataka
150,"Mangalore Jn.",Karnataka
