Sl. No. (col.1),Year (col.2),Allocation - Plan (col.3),Allocation - IEBR (col.4),Allocation - Non-Plan (col.5),Allocation - Total (col. 6=3+4+5),Expenditure - Plan (col.7),Expenditure - Non-Plan (col.8),Expenditure - IEBR raised (col.9),Expenditure - Private Sector Investment (col.10),Expenditure - Total (col.11 =7+8+9+10)
1,2004-05,6856,3300,1796.5,11952.5,5813.53,1458.47,0,1462.85,8734.85
2,2005-06,11408,8500,1956.75,21864.75,10330.8,1826.5,1289.49,649.08,14095.87
3,2006-07,13158.68,3500,1984.67,18643.35,12758.47,1859.04,1499.08,1578.28,17694.87
4,2007-08,14156.68,2090,2266.5,18513.18,13742.18,2233.86,305.18,7062.4,23343.62
5,2008-09,16211.64,4100,2714.11,23025.75,15653.57,2699.66,1630.01,8184.73,28167.97
6,2009-10,16641.31,5000,3463,25104.31,15120.6,3387.64,1153.63,8572.54,28234.41
7,2010-11,21590.29,7455,4857.59,33902.88,20434.93,4545.46,2160.11,15354.37,42494.87
8,2011-12,22966.76,12500,4283.06,39749.82,19489.98,3950.21,12511.52,25998.56,61950.27
9,2012-13,20283.56,13000,4564.72,37848.28,19949.82,4393.64,2902.07,20304.66,47550.19
10,2013-14,26211.41,8000,4918.42,39129.83,23920.97,4756.38,7942.13,22515.05,59134.53
11,2014-15,27880.5,7611.11,5596.58,41088.19,26728.52,5630.35,3343.4,19232.44,54934.71
12,2015-16,44324,42694.5,2783.71,89802.21,43328.36,2608.7,23281,29770,98988.06
13,2016-17,49351.67,59279,3095.33,111726,46461.97,2730.71,33118,16028.64,98339.32
