S.No.,"Name of Project","Year of Inclusion in Pink Book","Route Kilometre",Railway
1,"Barabanki-Gorakhpur-Barauni; incl Siwan-Thawe",2007-08,757,"North Eastern & East Central"
2,"Jalandhar-Jammu Tawi incl Jammu Tawi-Udhampur",2007-08,275,Northern
3,"Laksar-Dehradun (Material Modification of Ambala-Moradabad)",2011-12,79,Northern
4,"Barauni-Katihar-Guwahati incl Katihar-Barsoi",2008-09,836,"East Central & Northeast Frontier"
5,Shoranur-Mangalore-Penambur,2010-11,328,Southern
6,"Rohtak-Bhatinda-Lehra Muhabat",2010-11,252,Northern
7,Gondia-Balharshah,2010-11,250,"South East Central"
8,"Daund-Manmad incl. Puntamba - Shirdi",2010-11,255,Central
9,"Pandabeswar-Sainthia-Pakur incl. Khana-Sainthia",2010-11,205,Eastern
10,"Yelahanka - Dharmavaram - Gooty incl Penukonda-Dharmavaram via Sri Satya Sai Prashanthi Nilayam",2010-11,306,"South Central & South Western"
11,Rosa-Sitapur-Burhwal,2011-12,181,"Northern & North Eastern"
12,"Vizianagaram - Rayagada - Titlagarh - Raipur",2011-12,465,"East Coast"
13,"Alwar - Rewari",2011-12,82,"North Central"
14,"Kumedpur - Malda - Singhabad & Pakur - Malda",2012-13,153,"Eastern & Northeast Frontier"
15,"Jharsuguda - Sambalpur - Titlagarh & Jharsuguda - Ib Bypass",2012-13,238,"East Coast"
16,"Manheru - Hissar",2012-13,74,"North Western"
17,"Nallapadu - Guntakal incl. Gooty - Pendekallu",2012-13,426,"South Central"
18,"Andal - Sitarampur via Jamunia - Ikra & Sripur with Kajoragram -Sonachara bypass line with 6 colliery sidings",2012-13,57,Eastern
19,"Guntakal - Bellary - Hospet incl. Tornagallu - Ranjitpura Branch Line",2012-13,138,"South Central & South Western"
20,"Amla - Chhindwara - Kalumna",2012-13,257,"Central & South East Central"
21,"Itarsi - Katni - Manikpur incl Satna - Rewa and Manikpur - Chheoki",2012-13,653,"Noth Central & West Central"
22,"Sambalpur - Angul",2012-13,156,"East Coast"
23,"Garwa Road - Chopan - Singrauli",2012-13,257,"East Central"
24,"Delhi Sarai Rohilla - Rewari - Palanpur - Ahmedabad, incl. Kalol -Gandhinagar - Khodiyar and Alwar - Bandikui - Jaipur - Phulera",2013-14,1087,"Northern, North Western & Western"
25,"Jakhal - Hisar",2013-14,79,Northern
26,"Rajpura - Dhuri - Lehra Mohabat",2013-14,151,Northern
27,"Jakhal - Dhuri - Ludhiana",2013-14,123,Northern
28,"Singapur Road - Damanjodi",2013-14,152,"East Coast"
29,"Katwa-Azimganj-Nalhati & Azimganj-Tildanga/New Farakka incl. Nalhati & Azimganj bypass line","2013-14 (S)",200,Eastern
30,Manpur-Tilaiya-Bakhtiarpur,2014-15,132,"East Central"
31,Chhapra-Ballia-Ghazipur-Varanasi-Allahabad,2014-15,330,"North Eastern"
32,Singrauli-Katni,2015-16,260,"West Central"
33,Ahmedabad-Rajkot,2015-16,233,Western
34,Mehsana-Viramgam-Samakhiyali,2015-16,292,Western
35,"Erode-Karur-Tiruchchirapalli & Salem-Karur-Dindigul",2015-16,300,Southern
36,"Ratlam - Nimach - Chanderia - Kota",2015-16,348,"West Central & Western"
37,"Una Himachal-Amb Andaura",2015-16,25,Northern
38,"Koderma - Hazaribagh - Barkakana - Ranchi",2015-16,203,"East Central"
39,Guntakal-Kalluru,2015-16,40,"South Central"
40,"Indore - Mhow",2015-16,21,Western
41,"Ghazipur - Aunrihar - Manduadih",2015-16,78,"North Eastern"
42,"Utretia - Rae Bareli - Amethi - Janghai",2015-16,214,Northern
43,"Kiul - Tilaya",2015-16,87,"East Central"
44,"Paddapalli - Lingampet - Jagtiyal",2015-16,83,"South Central"
45,"Panvel - Pen - Thal",2015-16,75,Central
46,"Tiruchchirappalli - Nagapattinam - Karaikkal Port",2015-16,153,Southern
47,"Idgah - Achnera - Mathura & Achnera - Bharatpur",2015-16,87,"North Central"
48,"Bonidanga Link Cabin / Bonidanga - Barharwa - Sahibganj - Kiul incl. Tinpahar - Rajmahal",2015-16,247,Eastern
49,"Pagidipalli - Nallapadu",2015-16,285,"South Central"
50,"Hissar - Bhatinda - Suratgarh - Phalodi - Jodhpur - Bhildi incl Phalodi -Jaisalmer",2015-16,1230,"North Western"
51,"Valmiki Nagar - Narkatiaganj - Sugauli - Muzaffarpur incl Sugauli -Raxaul",2015-16,240,"East Central"
52,"Jhansi - Manikpur incl Khairar - Bhimsen",2015-16,409,"North Central"
53,"Ajmer - Berach - Mavli - Udaipur",2015-16,294,"North Western"
54,"Rohtak - Bhiwani",2015-16,48,"North Western"
55,"Manmad - Mudkhed - Dhone",2015-16,868,"South Central"
56,"Hospet - Hubli - Vasco da Gama",2015-16,346,"South Western"
57,"Zafrabad - Akbarpur - Tanda",2015-16,101,Northern
58,"Lalitpur - Udaipura",2015-16,32,"North Central"
59,"Jasai - Jawaharlal Nehru Port Trust",2015-16,9,Central
