Particulars," 3-2005"," 3-2006"," 3-2007"," 3-2008"," 3-2009"," 3-2010"," 3-2011"," 3-2012"," 3-2013"," 3-2014"
Total,602.1,666.51,727.75,793.89,833.39,887.79,921.73,969.05,1009.86,1053.54
Coal,271.4,294.25,313.33,336.83,369.63,396.15,420.4,455.81,496.37,508.08
"Raw Materials for Steel Plants",44.26,51.35,53.22,11.18,10.85,11.6,13.3,14.51,15.68,17.3
"Pig Iron and Finished Steel",15.24,17.74,21.04,25.79,28.58,31.85,32.8,35.15,35.33,38.57
"Iron Ore",36.41,41.24,38.84,136.69,130.58,132.74,118.5,104.7,111.54,124.23
Cement,53.77,61.19,73.13,78.99,86.24,93.15,99.1,107.66,105.78,109.85
Foodgrains,46.52,41.74,41.84,38.23,35.51,38.7,43.5,46.4,48.29,54.41
Fertilizers,28.75,32.65,34.27,35.83,41.35,43.68,48.2,52.7,45.93,44.37
"Petroleum, Oil and Lubricant",32,33.45,35.23,35.88,38.08,38.88,39.3,39.77,41.62,41.99
Others,73.75,92.9,116.85,94.47,92.57,101.04,106.6,112.35,109.28,114.74
