Year,"Maintenance of Structure Works","Maintenance & Supply of Loco Power","Maintenance of Carriage and Wagon Stock","Maintenance & Working of Ferry. Steamers & Harbours","Expenses of Traffic Deptt.","Expenses of General Deptt.","Miscellaneous Expenses","Expenses of Elec. Deptt.","Expenses of S & T Deptt.","Appropriation of Depreciation Reserve Fund","Appropriation to Railway Pension Fund","Total Working Expenses"
1950-51,25,61.3,18.4,0.82,33.6,13,21.7,9.3,NA,30,NA,213.1
1955-56,32.6,80.1,23.9,0.97,42.9,17.9,-0.41,10.5,5.34,45,NA,258.8
1960-61,43.3,126.9,32.7,0.95,59.2,29,-3.2,17.9,8.57,45,NA,360.3
1961-62,45.7,133.3,32.3,1.03,59.8,29.5,-3.76,19.6,8.24,65,NA,390.7
1962-63,50.8,146.5,36,1.08,66.9,32.9,-4.49,23.6,9.67,67,NA,430
1963-64,55.6,161.6,38.7,1.16,69.8,31.8,-5.64,26.8,10.2,80,NA,473.1
1964-65,60.7,172.8,43.8,1.23,78.3,39.1,-6.27,32.1,13.2,83,11.5,529.5
1965-66,66.7,189.7,50.6,1.53,88.3,44.1,-4.77,37.8,13.4,85,12,584.4
1966-67,71.8,203.1,53.9,1.43,95.3,48.4,-3.96,42.4,14.9,100,13.5,640.8
1967-68,78.7,228.9,59.1,1.42,106.7,53.6,-6.17,48.6,18.6,95,9.93,694.4
1968-69,84.8,245.3,64,1.39,114.9,57.1,-5.43,55.6,21.5,95,9.9,744.1
1969-70,90.5,262,69.3,1.45,121.6,61.1,-3.56,62.1,20.4,95,9.9,789.8
1970-71,99.9,266.4,73.5,1.52,133.9,67.5,-0.14,69.2,22.4,100,14.8,849
1971-72,104,283.2,81.8,1.75,146.1,72.3,5.34,78.6,26.1,105,11.4,915.6
1972-73,111.7,300.5,92.3,1.28,151.2,76.6,6.74,88.9,29.6,110,15.9,984.7
1973-74,125.3,312.3,106.7,1.38,165.5,84.4,14.94,97.6,32.2,115,15.9,1071.2
1974-75,157.9,394.7,135.4,1.57,204.3,105.8,32.82,125.1,40.7,115,15.9,1329.2
1975-76,184.5,486.6,177.9,1.63,241.5,129.4,41.01,161.5,47.8,115,24.3,1611.2
1976-77,190.8,522.8,184.9,1.5,241,127.1,47.04,185.1,48.5,135,34.4,1718.2
1977-78,206.6,528.9,180.6,1.41,246.9,129,46.67,188.1,51,140,39.3,1758.5
1978-79,218.2,558.1,193.4,1.35,262,136,52.63,203.5,52.9,145,49.2,1872.3
