"Si. No.",Category,State/UT,"Fault of Driver - Cases","Fault of Driver - Injured","Fault of Driver - Died","Sabotage by Extremist/Terrorist/Others - Cases","Sabotage by Extremist/Terrorist/Others - Injured","Sabotage by Extremist/Terrorist/Others - Died","Signalmen's Error - Cases","Signalmen's Error - Injured","Signalmen's Error - Died","Mechanical Failures (like Poor Design, Track Faults, Bridge/Tunnel Collapse etc.) - Cases","Mechanical Failures (like Poor Design, Track Faults, Bridge/Tunnel Collapse etc.) - Injured","Mechanical Failures (like Poor Design, Track Faults, Bridge/Tunnel Collapse etc.) - Died","Other Causes - Cases","Other Causes - Injured","Other Causes - Died","Total - Cases","Total - Injured","Total - Died"
1,State,"Andhra Pradesh",0,0,0,0,0,0,0,0,0,0,0,0,611,0,613,611,0,613
2,State,"Arunachal Pradesh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,State,Assam,0,0,0,0,0,0,0,0,0,413,3,413,0,0,0,413,3,413
4,State,Bihar,0,0,0,0,0,0,0,0,0,16,0,16,764,3,765,780,3,781
5,State,Chhattisgarh,0,0,0,0,0,0,18,0,18,0,0,0,310,1,309,328,1,327
6,State,Goa,0,0,0,0,0,0,0,0,0,0,0,0,23,0,23,23,0,23
7,State,Gujarat,0,0,0,0,0,0,0,0,0,0,0,0,490,0,492,490,0,492
8,State,Haryana,0,0,0,0,0,0,0,0,0,0,0,0,523,20,504,523,20,504
9,State,"Himachal Pradesh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,State,Jharkhand,22,0,18,0,0,0,3,0,4,51,0,50,198,5,194,274,5,266
11,State,Karnataka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,State,Kerala,0,0,0,2,0,2,5,0,5,8,5,8,95,0,95,110,5,110
13,State,"Madhya Pradesh",1,0,3,0,0,0,2,0,2,0,0,0,817,0,817,820,0,822
14,State,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,2697,792,1922,2697,792,1922
15,State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,State,Meghalaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,State,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,State,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,State,Odisha,0,0,0,0,0,0,0,0,0,0,0,0,279,0,280,279,0,280
20,State,Punjab,0,0,0,0,0,0,0,0,0,0,0,0,342,15,329,342,15,329
21,State,Rajasthan,0,0,0,0,0,0,0,0,0,0,0,0,429,15,415,429,15,415
22,State,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,State,"Tamil Nadu",0,0,0,0,0,0,0,0,0,0,0,0,959,64,902,959,64,902
24,State,Telangana,0,0,0,0,0,0,0,0,0,0,0,0,333,0,337,333,0,337
25,State,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2
26,State,"Uttar Pradesh",0,0,0,0,0,0,4,0,4,29,5,49,1527,26,1505,1560,31,1558
27,State,Uttarakhand,0,0,0,0,0,0,0,0,0,4,1,3,1,0,1,5,1,4
28,State,"West Bengal",0,0,0,0,0,0,0,0,0,0,0,0,1505,61,1444,1505,61,1444
"Total (States)","Total (States)","Total (States)",23,0,21,2,0,2,32,0,33,521,14,539,11905,1002,10949,12483,1016,11544
29,"Union Territories","A & N Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,"Union Territories",Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,"Union Territories","D & N Haveli and Daman & Diu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,"Union Territories","Delhi (UT)",0,0,0,0,0,0,0,0,0,0,0,0,526,111,415,526,111,415
33,"Union Territories","Jammu & Kashmir",0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,9,0,9
34,"Union Territories",Ladakh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,"Union Territories",Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,"Union Territories",Puducherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Total (UTs)","Total (UTs)","Total (UTs)",0,0,0,0,0,0,0,0,0,0,0,0,535,111,424,535,111,424
"Total (All India)","Total (All India)","Total (All India)",23,0,21,2,0,2,32,0,33,521,14,539,12440,1113,11373,13018,1127,11968
