"Si. No.",Category,State/UT,"Collisions - Cases","Collisions - Injured","Collisions - Died","Derailments - Cases","Derailments - Injured","Derailments - Died","Fall from Train/Collision with People at Tracks - Cases","Fall from Train/Collision with People at Tracks - Injured","Fall from Train/Collision with People at Tracks - Died","Explosion/Fire - Cases","Explosion/Fire - Injured","Explosion/Fire - Died","Others - Cases","Others - Injured","Others - Died","Total - Cases","Total - Injured","Total - Died"
1,State,"Andhra Pradesh",0,0,0,0,0,0,594,0,596,0,0,0,17,0,17,611,0,613
2,State,"Arunachal Pradesh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,State,Assam,0,0,0,0,0,0,413,3,413,0,0,0,0,0,0,413,3,413
4,State,Bihar,0,0,0,0,0,0,600,0,604,0,0,0,180,3,177,780,3,781
5,State,Chhattisgarh,0,0,0,0,0,0,205,1,204,0,0,0,123,0,123,328,1,327
6,State,Goa,0,0,0,0,0,0,23,0,23,0,0,0,0,0,0,23,0,23
7,State,Gujarat,0,0,0,0,0,0,490,0,492,0,0,0,0,0,0,490,0,492
8,State,Haryana,0,0,0,0,0,0,242,7,245,0,0,0,281,13,259,523,20,504
9,State,"Himachal Pradesh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,State,Jharkhand,1,0,2,0,0,0,265,5,261,8,0,3,0,0,0,274,5,266
11,State,Karnataka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,State,Kerala,0,0,0,0,0,0,73,5,73,2,0,2,35,0,35,110,5,110
13,State,"Madhya Pradesh",1,0,3,0,0,0,453,0,453,0,0,0,366,0,366,820,0,822
14,State,Maharashtra,0,0,0,0,0,0,2547,662,1904,0,0,0,150,130,18,2697,792,1922
15,State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,State,Meghalaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,State,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,State,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,State,Odisha,0,0,0,0,0,0,279,0,280,0,0,0,0,0,0,279,0,280
20,State,Punjab,0,0,0,0,0,0,342,15,329,0,0,0,0,0,0,342,15,329
21,State,Rajasthan,0,0,0,0,0,0,402,15,388,0,0,0,27,0,27,429,15,415
22,State,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,State,"Tamil Nadu",0,0,0,0,0,0,959,64,902,0,0,0,0,0,0,959,64,902
24,State,Telangana,0,0,0,0,0,0,333,0,337,0,0,0,0,0,0,333,0,337
25,State,Tripura,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2
26,State,"Uttar Pradesh",20,10,44,160,0,160,891,3,891,0,0,0,489,18,463,1560,31,1558
27,State,Uttarakhand,0,0,0,0,0,0,4,1,3,0,0,0,1,0,1,5,1,4
28,State,"West Bengal",0,0,0,0,0,0,0,0,0,0,0,0,1505,61,1444,1505,61,1444
"Total (States)","Total (States)","Total (States)",22,10,49,160,0,160,9117,781,8400,10,0,5,3174,225,2930,12483,1016,11544
29,"Union Territories","A & N Islands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,"Union Territories",Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,"Union Territories","D & N Haveli and Daman & Diu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,"Union Territories","Delhi (UT)",0,0,0,0,0,0,0,0,0,0,0,0,526,111,415,526,111,415
33,"Union Territories","Jammu & Kashmir",0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,9,0,9
34,"Union Territories",Ladakh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,"Union Territories",Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,"Union Territories",Puducherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Total (UTs)","Total (UTs)","Total (UTs)",0,0,0,0,0,0,0,0,0,0,0,0,535,111,424,535,111,424
"Total (All India)","Total (All India)","Total (All India)",22,10,49,160,0,160,9117,781,8400,10,0,5,3709,336,3354,13018,1127,11968
