States/UTs,Total,Surfaced
Andhra Pradesh,"256,448","172,272"
Arunachal Pradesh,"14,980","13,157"
Assam,"284,232","53,525"
Bihar,"138,517","65,356"
Chhattisgarh,"75,742","57,493"
Goa,"11,082","7,827"
Gujarat,"163,149","146,575"
Haryana,"42,638","38,679"
Himachal Pradesh,"50,449","35,529"
Jammu and Kashmir,"36,353","21,980"
Jharkhand,"26,277","18,836"
Karnataka,"303,128","198,777"
Kerala,"215,438","123,869"
Madhya Pradesh,"201,261","127,948"
Maharashtra,"396,685","335,389"
Manipur,"19,252","10,457"
Meghalaya,"12,103","7,921"
Mizoram,"11,293","8,099"
Nagaland,"35,189","16,833"
Odisha,"254,709","60,846"
Punjab,"93,871","83,717"
Rajasthan,"248,604","202,584"
Sikkim,"5,616","4,862"
Tamil Nadu,"230,200","188,087"
Tripura,"29,248","14,548"
Uttarakhand,"52,628","29,247"
Uttar Pradesh,"403,102","310,398"
West Bengal,"315,404","131,904"
Andaman and Nicobar Islands,"1,319","1,181"
Chandigarh,"1,928","1,923"
Dadra and Nagar Haveli,810,807
Daman and Diu,237,237
Delhi,"30,711","22,025"
Lakshadweep,202,202
Puducherry,"2,585","2,295"
ALL INDIA(Excluding JRY Roads),"3,965,394","2,515,388"
