S. No.,Category,State/UT,2015*,2016 *,2017 *,Percentage Share of State/UT (2017),Mid-Year Projected Population (In Lakhs) (2017)+,Rate of Cognizable Crimes (IPC) (2017)++
1,State,Andhra Pradesh,51076,69689,76356,6.8,521.31,146.5
2,State,Arunachal Pradesh,0,1,0,0,13.31,0
3,State,Assam,3739,6241,6795,0.6,329.31,20.6
4,State,Bihar,38776,43772,60056,5.4,1054.52,57
5,State,Chhattisgarh,25203,23576,22752,2,262.89,86.5
6,State,Goa,258,249,383,0,20.38,18.8
7,State,Gujarat,70877,77230,73690,6.6,637.69,115.6
8,State,Haryana,16694,14686,15478,1.4,279.99,55.3
9,State,Himachal Pradesh,204,236,274,0,71.7,3.8
10,State,Jammu & Kashmir,923,1023,1133,0.1,125.87,9
11,State,Jharkhand,16834,18411,23157,2.1,342.1,67.7
12,State,Karnataka,35462,37839,37873,3.4,630.92,60
13,State,Kerala,28459,29195,33109,3,359.39,92.1
14,State,Madhya Pradesh,88226,98964,91906,8.2,793.31,115.9
15,State,Maharashtra,196602,223360,234826,21,1219.91,192.5
16,State,Manipur,0,0,0,0,26.28,0
17,State,Meghalaya,0,0,0,0,28.13,0
18,State,Mizoram,0,0,0,0,10.78,0
19,State,Nagaland,28,35,87,0,24.13,3.6
20,State,Odisha,29646,32473,34621,3.1,429.18,80.7
21,State,Punjab,28520,22661,22420,2,294.6,76.1
22,State,Rajasthan,45782,59721,73388,6.6,742.53,98.8
23,State,Sikkim,0,0,0,0,6.56,0
24,State,Tamil Nadu,79853,81639,82221,7.4,698.42,117.7
25,State,Telangana,9869,15516,17541,1.6,371.29,47.2
26,State,Tripura,4,12,51,0,38.8,1.3
27,State,Uttar Pradesh,106577,124720,137693,12.3,2226.08,61.9
28,State,Uttarakhand,4536,5142,5990,0.5,108.04,55.4
29,State,West Bengal,47509,56447,37612,3.4,945.97,39.8
State,State,Total State(s),925657,1042838,1089412,97.6,12613.39,86.4
30,Union Territory,A&N Islands,0,0,0,0,5.67,0
31,Union Territory,Chandigarh,1214,1424,1444,0.1,18.87,76.5
32,Union Territory,D&N Haveli,0,0,0,0,4.42,0
33,Union Territory,Daman & Diu,0,0,0,0,3.49,0
34,Union Territory,Delhi UT,15083,24293,24747,2.2,221.04,112
35,Union Territory,Lakshadweep,0,0,0,0,0.82,0
36,Union Territory,Puducherry,304,304,236,0,17.55,13.4
Union Territory,Union Territory,Total UT(s),16601,26021,26427,2.4,271.86,97.2
Total (All India),Total (All India),Total (All India),942258,1068859,1115839,100,12885.25,86.6
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
