Category,State/UT,2017*,"2018 *","2019 *","Percentage Share of State/UT (2019)","Mid-Year Projected Population (In Lakhs) (2019)","Rate of Cognizable Crimes (IPC) (2019)+"
State,"Andhra Pradesh",76356,74654,59821,6.3,523.2,114.3
State,"Arunachal Pradesh",0,0,0,0,15.1,0
State,Assam,6795,8698,8819,0.9,344.2,25.6
State,Bihar,60056,41400,29553,3.1,1201.1,24.6
State,Chhattisgarh,22752,23987,21461,2.3,288.5,74.4
State,Goa,383,464,661,0.1,15.4,42.9
State,Gujarat,73690,74214,72469,7.6,682.5,106.2
State,Haryana,15478,14950,13187,1.4,288.1,45.8
State,"Himachal Pradesh",274,323,268,0,73.2,3.7
State,"Jammu & Kashmir",1133,2661,1783,0.2,135.3,13.2
State,Jharkhand,23157,25715,19958,2.1,375.8,53.1
State,Karnataka,37873,34396,30575,3.2,659.7,46.3
State,Kerala,33109,28458,35197,3.7,351.9,100
State,"Madhya Pradesh",91906,89036,61748,6.5,826.1,74.7
State,Maharashtra,234826,223289,244866,25.8,1225.3,199.8
State,Manipur,0,0,0,0,31.1,0
State,Meghalaya,0,0,0,0,32.3,0
State,Mizoram,0,0,0,0,12,0
State,Nagaland,87,214,384,0,21.6,17.8
State,Odisha,34621,41897,32173,3.4,437.3,73.6
State,Punjab,22420,20967,19231,2,299.4,64.2
State,Rajasthan,73388,66487,50627,5.3,776,65.2
State,Sikkim,0,0,0,0,6.7,0
State,"Tamil Nadu",82221,79383,56652,6,758.1,74.7
State,Telangana,17541,16839,11602,1.2,372.8,31.1
State,Tripura,51,83,152,0,40,3.8
State,"Uttar Pradesh",137693,140386,111431,11.7,2259.7,49.3
State,Uttarakhand,5990,6225,5206,0.5,111.8,46.6
State,"West Bengal",37612,54107,47817,5,971.1,49.2
State,"TOTAL STATE(S)",1089412,1068833,935641,98.5,13135.2,71.2
UT,"A & N Islands",0,0,0,0,4,0
UT,Chandigarh,1444,1124,755,0.1,11.8,64
UT,"D & N Haveli",0,0,0,0,5.6,0
UT,"Daman & Diu",0,0,0,0,4.2,0
UT,"Delhi UT",24747,24432,13045,1.4,199.4,65.4
UT,Lakshadweep,0,0,0,0,0.7,0
UT,Puducherry,236,295,254,0,15.2,16.7
UT,"TOTAL UT(S)",26427,25851,14054,1.5,240.8,58.4
"Grand Total","TOTAL (ALL INDIA)",1115839,1094684,949695,100,13376.1,71
