"Sl. No.",State/UT,2019,2020,2021,"Mid-Year Projected Population (in Lakhs) (2021)","Rate of Cognizable Crimes (2021)"
1,"Andhra Pradesh",59821,13596,9825,528.5,18.6
2,"Arunachal Pradesh",0,0,0,15.4,0
3,Assam,8819,2101,3091,351.6,8.8
4,Bihar,29553,8666,20107,1237,16.3
5,Chhattisgarh,21461,4897,14156,296.1,47.8
6,Goa,661,109,433,15.6,27.8
7,Gujarat,72469,19651,49587,700.8,70.8
8,Haryana,13187,3495,5218,296,17.6
9,"Himachal Pradesh",268,41,83,74.1,1.1
10,Jharkhand,19958,5094,13223,386.4,34.2
11,Karnataka,30575,8917,21244,669.9,31.7
12,Kerala,35197,7997,15137,355.4,42.6
13,"Madhya Pradesh",61748,19099,33982,848.6,40
14,Maharashtra,244866,68215,96648,1247.6,77.5
15,Manipur,0,0,0,31.7,0
16,Meghalaya,0,0,0,33,0
17,Mizoram,0,0,0,12.2,0
18,Nagaland,384,109,157,22,7.1
19,Odisha,32173,6416,8692,457.9,19
20,Punjab,19231,3621,5004,304,16.5
21,Rajasthan,50627,17812,20370,795.7,25.6
22,Sikkim,0,0,0,6.8,0
23,"Tamil Nadu",56652,12036,18647,764.8,24.4
24,Telangana,11602,3070,3704,377.7,9.8
25,Tripura,152,63,74,40.8,1.8
26,"Uttar Pradesh",111431,28753,43551,2317,18.8
27,Uttarakhand,5206,1339,1005,114.4,8.8
28,"West Bengal",47817,13932,30149,982.9,30.7
"Total State (S)","Total State (S)",933858,249029,414087,13283.6,31.17279954
29,"Andaman and Nicobar Islands",0,0,0,4,0
30,Chandigarh,755,76,185,12.1,15.3
31,"Dadra and Nagar Haveli and Daman and Diu",0,0,0,11.1,0
32,Delhi,13045,4758,8692,207,42
33,"Jammu and Kashmir",1783,706,936,134.4,7
34,Ladakh,0,0,0,3,0
35,Lakshadweep,0,0,0,0.7,0
36,Puducherry,254,67,127,15.8,8
"Total UT (S)","Total UT (S)",15837,5607,9940,388.1,25.61195568
"Total All India","Total All India",949695,254636,424027,13671.8,31
