"Sl. No.",State/UT,"No. of cases registered by GRP for Sabotage - No. of Cases registered","No. of cases registered by GRP for Sabotage - No. of Persons arrested","No. of cases registered for putting obstruction on railway track - No. of Cases registered","No. of cases registered for putting obstruction on railway track - No. of Persons arrested"
1,"Andhra Pradesh",1,0,3,2
2,Bihar,11,20,5,12
3,Delhi,2,0,0,0
4,Gujarat,10,11,0,0
5,"Himachal Pradesh",1,0,0,0
6,Haryana,9,3,4,1
7,Jharkhand,2,2,9,17
8,Karnataka,4,5,1,1
9,Kerala,12,3,11,9
10,"Madhya Pradesh",6,2,36,38
11,Maharashtra,22,20,4,4
12,Punjab,6,0,15,6
13,Rajasthan,9,17,20,47
14,"Tamil Nadu",37,39,28,16
15,Telangana,1,0,24,23
16,"Uttar Pradesh",18,17,21,25
17,Uttarakhand,7,2,1,0
18,"West Bengal",2,4,2,2
