Category,State/UT,Collisions_Cases,Collisions_Injured,Collisions_Died,Derailments_Cases,Derailments_Injured,Derailments_Died,"Fall from Train/Collision with People at Tracks_Cases","Fall from Train/Collision with People at Tracks_Injured","Fall from Train/Collision with People at Tracks_Died",Explosion/Fire_Cases,Explosion/Fire_Injured,Explosion/Fire_Died,Others_Cases,Others_Injured,Others_Died,Total_Cases,Total_Injured,Total_Died
State,"ANDHRA PRADESH",0,0,0,0,0,0,1511,1,1519,0,0,0,0,0,0,1511,1,1519
State,"ARUNACHAL PRADESH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,ASSAM,0,0,0,0,0,0,591,0,593,0,0,0,0,0,0,591,0,593
State,BIHAR,0,0,0,0,0,0,1305,0,1338,0,0,0,284,0,284,1589,0,1622
State,CHHATTISGARH,0,0,0,0,0,0,344,0,344,0,0,0,122,0,122,466,0,466
State,GOA,0,0,0,0,0,0,50,0,50,0,0,0,0,0,0,50,0,50
State,GUJARAT,0,0,0,0,0,0,994,0,1012,0,0,0,0,0,0,994,0,1012
State,HARYANA,0,0,0,0,0,0,756,96,660,0,0,0,606,30,618,1362,126,1278
State,"HIMACHAL PRADESH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,"JAMMU & KASHMIR",0,0,0,0,0,0,40,0,41,0,0,0,4,0,4,44,0,45
State,JHARKHAND,0,0,0,0,0,0,483,1,486,0,0,0,0,0,0,483,1,486
State,KARNATAKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,KERALA,0,0,0,0,0,0,202,1,202,0,0,0,48,0,52,250,1,254
State,"MADHYA PRADESH",0,0,0,0,0,0,1314,99,1217,0,0,0,194,0,192,1508,99,1409
State,MAHARASHTRA,0,0,0,0,0,0,6059,2293,3778,0,0,0,279,142,138,6338,2435,3916
State,MANIPUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,MEGHALAYA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,MIZORAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,NAGALAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,ODISHA,0,0,0,0,0,0,444,0,446,0,0,0,0,0,0,444,0,446
State,PUNJAB,0,0,0,0,0,0,893,65,831,0,0,0,0,0,0,893,65,831
State,RAJASTHAN,0,0,0,0,0,0,753,30,724,0,0,0,50,0,51,803,30,775
State,SIKKIM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State,"TAMIL NADU",0,0,0,0,0,0,2266,203,2081,0,0,0,0,0,0,2266,203,2081
State,TELANGANA,0,0,0,0,0,0,626,0,631,0,0,0,0,0,0,626,0,631
State,TRIPURA,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,5,0,5
State,"UTTAR PRADESH",49,11,42,10,1,10,2584,345,2239,0,0,0,1337,145,1230,3980,502,3521
State,UTTARAKHAND,0,0,0,0,0,0,41,0,42,0,0,0,0,0,0,41,0,42
State,"WEST BENGAL",0,0,0,0,0,0,66,0,66,0,0,0,2810,44,2766,2876,44,2832
State,"TOTAL (STATES)",49,11,42,10,1,10,21327,3134,18305,0,0,0,5734,361,5457,27120,3507,23814
UT,"A & NISLANDS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,CHANDIGARH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,"D & N HAVELI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,"DAMAN & DIU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,"DELHI (UT)",0,0,0,0,0,0,34,0,34,0,0,0,824,62,762,858,62,796
UT,LAKSHADWEEP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UT,PUDUCHERRY,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,9,0,9
UT,"TOTAL (UTs)",0,0,0,0,0,0,34,0,34,0,0,0,833,62,771,867,62,805
"TOTAL (ALL INDIA)","TOTAL (ALL INDIA)",49,11,42,10,1,10,21361,3134,18339,0,0,0,6567,423,6228,27987,3569,24619
