States/UTs,"Total/ Surfaced",2009,2010,2011
"Andhra Pradesh",T,232280,235678,238001
"Andhra Pradesh",S,149335,153134,155579
"Arunachal Pradesh",T,20384,21122,21555
"Arunachal Pradesh",S,13314,13959,14336
Assam,T,236985,239394,241789
Assam,S,33405,35622,37816
Bihar,T,124363,128034,130642
Bihar,S,50941,54601,57198
Chhattisgarh,T,87733,91477,93965
Chhattisgarh,S,57843,61769,64078
Goa,T,10189,10356,10627
Goa,S,7310,7359,7531
Gujarat,T,153522,155614,156188
Gujarat,S,138743,140991,141565
Haryana,T,36032,37276,41729
Haryana,S,32897,34305,37701
"Himachal Pradesh",T,44467,46734,47963
"Himachal Pradesh",S,29269,31832,33247
"Jammu and Kashmir",T,24581,25770,26980
"Jammu and Kashmir",S,11468,13024,14178
Jharkhand,T,20772,22302,23903
Jharkhand,S,13249,14779,16379
Karnataka,T,274896,280147,281773
Karnataka,S,172164,177188,179099
Kerala,T,200625,200928,201220
Kerala,S,109936,110328,110359
"Madhya Pradesh",T,185898,189915,197293
"Madhya Pradesh",S,104320,112204,119921
Maharashtra,T,399416,406660,410521
Maharashtra,S,327615,336006,339794
Manipur,T,17724,18604,19133
Manipur,S,6732,7612,8140
Meghalaya,T,11019,11702,11984
Meghalaya,S,6615,6758,7072
Mizoram,T,7742,8727,9810
Mizoram,S,6383,6929,7001
Nagaland,T,32597,33423,34146
Nagaland,S,14518,15076,15470
Odisha,T,229132,233524,258836
Odisha,S,42659,46767,58719
Punjab,T,77912,81899,84193
Punjab,S,70330,74319,76612
Rajasthan,T,217543,223300,241318
Rajasthan,S,170757,176964,194979
Sikkim,T,4199,4420,4630
Sikkim,S,3719,3940,4119
"Tamil Nadu",T,188037,190055,192339
"Tamil Nadu",S,154171,156190,158473
Tripura,T,32767,33338,33772
Tripura,S,13217,13760,14203
Uttarakhand,T,44332,46836,49277
Uttarakhand,S,23516,25193,26664
"Uttar Pradesh",T,329185,376278,390256
"Uttar Pradesh",S,244502,283135,297674
"West Bengal",T,290170,291805,299209
"West Bengal",S,104617,108000,115534
"Andaman and Nicobar Islands",T,1297,1302,1386
"Andaman and Nicobar Islands",S,1073,1073,1156
Chandigarh,T,2246,2264,2284
Chandigarh,S,2246,2264,2284
"Dadra and Nagar Haveli",T,758,787,808
"Dadra and Nagar Haveli",S,753,784,806
"Daman and Diu",T,229,229,236
"Daman and Diu",S,229,229,236
Delhi,T,29589,29627,29648
Delhi,S,20903,20942,20962
Lakshadweep,T,176,182,190
Lakshadweep,S,176,182,190
Puducherry,T,2712,2727,2740
Puducherry,S,2377,2394,2404
"ALL INDIA(Excluding JRY Roads)",T,3571510,3682439,3790342
"ALL INDIA(Excluding JRY Roads)",S,2141302,2249611,2341480
