Category,States/UTs,"Length of NH"
States,"Andhra Pradesh",5022
States,"Arunachal Pradesh",2027
States,Assam,2940
States,Bihar,4168
States,Chhattisgarh,2289
States,Goa,269
States,Gujarat,3828
States,Haryana,1633
States,"Himachal Pradesh",1506
States,"Jammu & Kashmir",1695
States,Jharkhand,2374
States,Karnataka,4642
States,Kerala,1457
States,"Madhya Pradesh",5116
States,Maharashtra,4498
States,Manipur,1317
States,Meghalaya,1171
States,Mizoram,1027
States,Nagaland,494
States,Odisha,4416
States,Punjab,1557
States,Rajasthan,7180
States,Sikkim,149
States,"Tamil Nadu",4943
States,Tripura,400
States,Uttarakhand,2042
States,"Uttar Pradesh",7818
States,"West Bengal",2681
"Union Territories","Andaman & Nicobar Islands",300
"Union Territories",Chandigarh,24
"Union Territories",Delhi,80
"Union Territories",Puducherry,53
"All India","All India",79116
