States/UTs,"Length of NH"
"Andhra Pradesh",6590.15
"Arunachal Pradesh",2027.26
Assam,3634
Bihar,4467.15
Chhattisgarh,3030.5
Goa,268.5
Gujarat,4693.59
Haryana,2049.63
"Himachal Pradesh",2195.89
"Jammu & Kashmir",2319
Jharkhand,2967.84
Karnataka,6177.46
Kerala,1700.19
"Madhya Pradesh",5116.17
Maharashtra,6248.87
Manipur,1451.82
Meghalaya,1171.21
Mizoram,1222
Nagaland,741.09
Odisha,4550
Punjab,1698.95
Rajasthan,7645.65
Sikkim,149
"Tamil Nadu",4975.16
Tripura,509
Uttarakhand,2282.16
"Uttar Pradesh",7986
"West Bengal",2908.29
"Andaman & Nicobar Islands",300
Chandigarh,24.28
"Dadra & Nagar Haveli",31
"Daman & Diu",22
Delhi,80
Puducherry,52.77
"All INDIA",91286.58
