Year (as on 31st March),Total Road Length/Percentage Share,Maintained By PWD-NH ( 2 ),Maintained By PWD-SH ( 3 ),Maintained By PWD-Other PWD Roads ( 4 ),Maintained By PWD-Total ( 5 ),Panchayat Raj Roads ( 6 ),JRY and PMGSY Roads* ( 7 ),Urban Roads ( 8 ),Project Roads ( 9 ),Total (5+6+7+8+9)
1951,Total Road Length,19811,NA,173723,193534,206408,0,0,0,399942
1951,Percentage Share,4.95,0,43.44,48.39,51.61,0,0,0,100
1961,Total Road Length,23798,NA,257125,280923,197194,0,46361,0,524478
1961,Percentage Share,4.54,0,49.02,53.56,37.6,0,8.84,0,100
1971,Total Road Length,23838,56765,276833,357436,354530,0,72120,130893,914979
1971,Percentage Share,2.61,6.2,30.26,39.06,38.75,0,7.88,14.31,100
1981,Total Road Length,31671,94359,421895,547925,628865,0,123120,185511,1485421
1981,Percentage Share,2.13,6.35,28.4,36.89,42.34,0,8.29,12.49,100
1986,Total Road Length,32088,100461,500869,633418,747710,0,138647,206276,1726051
1986,Percentage Share,1.86,5.82,29.02,36.7,43.32,0,8.03,11.95,100
1991,Total Road Length,33650,127311,509435,670396,931288,329142,186799,209737,2327362
1991,Percentage Share,1.45,5.47,21.89,28.8,40.01,14.14,8.03,9.01,100
1992,Total Road Length,33666,128622,521028,683316,936288,440848,189352,212485,2462289
1992,Percentage Share,1.37,5.22,21.16,27.75,38.03,17.9,7.69,8.63,100
1993,Total Road Length,33916,129876,495836,659628,1037663,564145,195150,222057,2678643
1993,Percentage Share,1.27,4.85,18.51,24.63,38.74,21.06,7.29,8.29,100
1994,Total Road Length,34249,132401,500615,667265,1048907,812440,202013,224608,2955233
1994,Percentage Share,1.16,4.48,16.94,22.58,35.49,27.49,6.84,7.6,100
1995,Total Road Length,34262,134085,511046,679393,1063790,886076,204577,225481,3059317
1995,Percentage Share,1.12,4.38,16.7,22.21,34.77,28.96,6.69,7.37,100
1996,Total Road Length,34508,135187,716701,886396,1021807,900000,212920,245673,3266796
1996,Percentage Share,1.06,4.14,21.94,27.13,31.28,27.55,6.52,7.52,100
1997,Total Road Length,34849,137119,758264,930232,987103,900000,231573,249880,3298788
1997,Percentage Share,1.06,4.16,22.99,28.2,29.92,27.28,7.02,7.57,100
1998,Total Road Length,38517,136489,651509,826515,996359,900000,236055,269427,3228356
1998,Percentage Share,1.19,4.23,20.18,25.6,30.86,27.88,7.31,8.35,100
1999,Total Road Length,49585,137950,672316,859851,1028410,900000,237866,270523,3296650
1999,Percentage Share,1.5,4.18,20.39,26.08,31.2,27.3,7.22,8.21,100
2000,Total Road Length,52010,132797,730680,915487,1048043,900000,248408,213827,3325765
2000,Percentage Share,1.56,3.99,21.97,27.53,31.51,27.06,7.47,6.43,100
2001,Total Road Length,57737,132100,736001,925838,1068020,903996,252001,223665,3373520
2001,Percentage Share,1.71,3.92,21.82,27.44,31.66,26.8,7.47,6.63,100
2002,Total Road Length,58112,137711,695335,891158,1134326,926697,250295,224124,3426600
2002,Percentage Share,1.7,4.02,20.29,26.01,33.1,27.04,7.3,6.54,100
2003,Total Road Length,58112,134807,696960,889879,1155491,926697,297259,259328,3528654
2003,Percentage Share,1.65,3.82,19.75,25.22,32.75,26.26,8.42,7.35,100
2004,Total Road Length,65569,133177,719257,918003,1189058,951511,301310,261625,3621507
2004,Percentage Share,1.81,3.68,19.86,25.35,32.83,26.27,8.32,7.22,100
2005,Total Road Length,65569,144396,786230,996195,1299463,966976,286707,259815,3809156
2005,Percentage Share,1.72,3.79,20.64,26.15,34.11,25.39,7.53,6.82,100
2006,Total Road Length,66590,148090,803669,1018349,1318258,989867,291991,262186,3880651
2006,Percentage Share,1.72,3.82,20.71,26.24,33.97,25.51,7.52,6.76,100
2007,Total Road Length,66590,152235,835003,1053828,1372867,1020621,300580,268505,4016401
2007,Percentage Share,1.66,3.79,20.79,26.24,34.18,25.41,7.48,6.69,100
2008,Total Road Length,66754,154522,863241,1084517,1388750,1061809,304327,270189,4109592
2008,Percentage Share,1.62,3.76,21.01,26.39,33.79,25.84,7.41,6.57,100
2009,Total Road Length,70548,158497,962880,1191926,1514952,1114213,373802,276617,4471510
2009,Percentage Share,1.58,3.54,21.53,26.66,33.88,24.92,8.36,6.19,100
2010,Total Road Length,70934,160177,977414,1208526,1518205,1174330,402448,278931,4582439
2010,Percentage Share,1.55,3.5,21.33,26.37,33.13,25.63,8.78,6.09,66.87
2011,Total Road Length,70934,163898,1005327,1240158,1530366,1219438,411840,288539,4690342
2011,Percentage Share,1.51,3.49,21.43,26.44,32.63,26,8.78,6.15,100
