"Year (as on 31st March) (Col. 1)","National Highways (Col. 2)","Percentage Share - National Highways (Col. 3)","State Highways (Col. 4)","Percentage Share - State Highways (Col. 5)","Other PWD Roads (Col. 6)","Percentage Share - Other PWD Roads (Col. 7)","District Roads (Col. 8)","Percentage Share - District Roads (Col. 9)","Panchayat Raj Roads (Col. 10)","Percentage Share - Panchayat Raj Roads (Col. 11)","JRY & PMGSY Roads* (Col. 12)","Percentage Share - JRY & PMGSY Roads* (Col. 13)","Rural Roads built by State PWD/RWD (Col. 14)","Percentage Share - Rural Roads built by State PWD/RWD (Col. 15)","Urban Roads (Col. 16)","Percentage Share - Urban Roads (Col. 17)","Project Roads (Col. 18)","Percentage Share - Project Roads (Col. 19)","Surfaced (Col. 20)","Percentage Share - Surfaced (Col. 21)","Total (Col. 22 = 2+4+6+8+10+12+14+16+18)","Percentage - Total (Col. 23)"
1951,19811,4.95,#,0,173723,43.44,NA,NA,206408,51.61,0,0,NA,NA,0,0,0,0,157019,39.26,399942,100
1961,23798,4.54,#,0,257125,49.02,NA,NA,197194,37.6,0,0,NA,NA,46361,8.84,0,0,263052,50.16,524478,100
1971,23838,2.61,56765,6.2,276833,30.26,NA,NA,354530,38.75,0,0,NA,NA,72120,7.88,130893,14.31,397948,43.49,914979,100
1981,31671,2.13,94359,6.35,421895,28.4,NA,NA,628865,42.34,0,0,NA,NA,123120,8.29,185511,12.49,683676,46.03,1485421,100
1991,33650,1.45,127311,5.47,509435,21.89,NA,NA,931288,40.01,329142,14.14,NA,NA,186799,8.03,209737,9.01,1090167,46.84,2327362,100
2001,57737,1.71,132100,3.92,736001,21.82,NA,NA,1068020,31.66,903996,26.8,NA,NA,252001,7.47,223665,6.63,1601745,47.48,3373520,100
2002,58112,1.7,137711,4.02,695335,20.29,NA,NA,1134326,33.1,926697,27.04,NA,NA,250295,7.3,224124,6.54,1661555,48.49,3426600,100
2003,58112,1.65,134807,3.82,696960,19.75,NA,NA,1155491,32.75,926697,26.26,NA,NA,297259,8.42,259328,7.35,1701258,48.21,3528654,100
2004,65569,1.81,133177,3.68,719257,19.86,NA,NA,1189058,32.83,951511,26.27,NA,NA,301310,8.32,261625,7.22,1760768,48.62,3621507,100
2005,65569,1.72,144396,3.79,786230,20.64,NA,NA,1299463,34.11,966976,25.39,NA,NA,286707,7.53,259815,6.82,1795298,47.13,3809156,100
2006,66590,1.72,148090,3.82,803669,20.71,NA,NA,1318258,33.97,989867,25.51,NA,NA,291991,7.52,262186,6.76,1858684,47.9,3880651,100
2007,66590,1.66,152235,3.79,835003,20.79,NA,NA,1372867,34.18,1020621,25.41,NA,NA,300580,7.48,268505,6.69,1944758,48.42,4016401,100
2008,66754,1.62,154522,3.76,863241,21.01,NA,NA,1388750,33.79,1061809,25.84,NA,NA,304327,7.41,270189,6.57,2036063,49.54,4109592,100
2009,70548,1.58,158497,3.54,962879.981,21.53,NA,NA,1514952.157,33.88,1114212.85,24.92,NA,NA,373802,8.36,276617.039,6.19,2324504,51.98,4471509.812,100
2010,70934,1.55,160177,3.5,977414,21.33,NA,NA,1518205,33.13,1174330,25.63,NA,NA,402448,8.78,278931,6.09,2432813,53.09,4582439,100
2011,70934,1.52,163898,3.5,998895,21.36,NA,NA,1530366,32.72,1219438,26.07,NA,NA,411679,8.8,281628,6.02,2524682,53.98,4676838,100
2012,76818,1.58,164360,3.38,1022287,21.01,NA,NA,1587787,32.63,1250433,25.7,NA,NA,464294,9.54,299415,6.15,2698590,55.46,4865394,100
2013,79116,1.51,169227,3.23,1066747,20.39,NA,NA,1725318,32.98,1434321,27.41,NA,NA,446238,8.53,310955,5.94,3171002,60.61,5231922,100
2014,91287,1.69,170818,3.16,1082267,20.03,NA,NA,1800747,33.33,1503581,27.83,NA,NA,457467,8.47,296319,5.48,25335,0.47,5402485.625,100
2015,97991,1.79,167109,3.05,1101178,20.25,NA,NA,1831043,33.46,1506212,27.53,NA,NA,467106,8.54,301505,5.51,3341008,61.05,5472144.255,100
2016,101011,1.8,176166,3.14,NA,NA,561940,10.03,1860573,33.2,1526377,27.24,548387,9.78,509730,9.1,319109,5.7,3501906,62.49,5603293,100
2017,114158,1.94,175036,2.97,NA,NA,586181,9.94,1935693.319,32.82,1584343.22,26.86,646880,10.97,526483,8.93,328897,5.58,3729781,63.63,5897670.613,100
