"Sl No",India/Category,Sub-Category,Total,Surfaced
1,"National Highways","National Highways",91286.58,91286.58
2,"State Highways","State Highways",170818.135,168953
3,"Other PWD Roads","Other PWD Roads",1082267,944189
4,"Rural Roads","Rural Roads",2404328,1408176
4,"Rural Roads","Panchayati Raj Roads (Zilla Parishad/ Village Panchayat / CD/ Panchayat Samiti Roads)",1800747,962537
4,"Rural Roads","PMGSY Roads",603581,445639
5,"Urban Roads","Urban Roads",457466.91,338458.91
5,"Urban Roads","Municipal Roads",432083,314668
5,"Urban Roads","MES Roads",12789,12653
5,"Urban Roads","Railway Roads",11508,10097
5,"Urban Roads","Major Port Roads",799.91,788.91
5,"Urban Roads","Minor Port Roads",287,252
6,"Project Roads","Project Roads",296319,86237
6,"Project Roads","Forest Department Roads",165488,27572
6,"Project Roads","Irrigation Department Roads",101053,33477
6,"Project Roads","Electricity Department Roads",4815,4494
6,"Project Roads","Sugarcane Authority Roads",13816,10281
6,"Project Roads","Coal Mine Roads",3093,2967
6,"Project Roads","SAIL & NMDC Roads",2709,2535
6,"Project Roads","BRO Roads",5345,4911
"All India (Excluding JRY Roads)","All India (Excluding JRY Roads)","All India (Excluding JRY Roads)",4502485.625,3037300.49
"All India (Including JRY Roads)","All India (Including JRY Roads)","All India (Including JRY Roads)",5402485.625,3220502.49
