S.No.,Railway,"No. of New Line Surveys in Progress","Length (in Kms)"
1,"Central Railway",23,2407
2,"Eastern Railway",6,357
3,"East Central Railway",37,2109
4,"East Coast Railway",14,985
5,"Northern Railway",13,678
6,"North Central Railway",4,500
7,"North Eastern Railway",7,486
8,"Northeast Frontier Railway",10,1388
9,"North Western Railway",11,1845
10,"Southern Railway",8,1201
11,"South Central Railway",9,1229
12,"South Eastern Railway",6,383
13,"South East Central Railway",13,1754
14,"South Western Railway",18,2211
15,"Western Railway",18,1891
16,"West Central Railway",8,602
