"Sl. No.","Zonal Railway","Expenditure on conversion of Railway coaches into isolation wards during 2020-21 (upto Jan-2021) (in Rs. Crores)"
1,"Central Railway",4.6
2,"Eastern Railway",5.55
3,"East Central Railway",0.59
4,"East Coast Railway",2.31
5,"Northern Railway",3.24
6,"North Central Railway",1.45
7,"North Eastern Railway",0.67
8,"Northeast Frontier Railway",3.54
9,"North Western Railway",2.08
10,"Southern Railway",3.7
11,"South Central Railway",1.27
12,"South Eastern Railway",1.39
13,"South East Central Railway",0.41
14,"South Western Railway",2.77
15,"Western Railway",3.34
16,"West Central Railway",1.39
Total,Total,38.3
