"Zonal Railway","Theft of Passenger's belongings",Robbery,Dacoity,"Crime against Women Passengers","Other Crimes"
Central,24672,900,7,127,588
Eastern,323,9,1,13,24
"East Central",1085,6,6,13,15
"East Coast",683,23,2,6,28
Northern,1736,33,7,43,4075
"North Central",1853,19,2,31,36
"North Eastern",212,13,0,6,5
"Northeast Frontier",127,0,0,6,19
"North Western",717,3,0,20,72
Southern,3795,168,2,132,836
"South Central",2498,45,2,24,42
"South Eastern",538,21,1,10,16
"South East Central",1004,1,1,9,70
"South Western",491,7,2,2,5
Western,10566,419,1,57,96
"West Central",3153,18,0,18,147
