"Sl. No.",Zone,2018,"2019 - Sub Inspector (Executive)","2019 - Constable (Executive)","2019 - Constable (Ancillary)","2020 - Constable (Band)",2021,2022
1,"Empanelled Candidates",NA,1121,8543,796,108,NA,NA
1,CR,NA,70,526,24,5,NA,NA
2,ER,NA,173,926,82,1,NA,NA
3,ECR,NA,71,272,94,0,NA,NA
4,ECoR,NA,49,168,17,5,NA,NA
5,NR,NA,139,1288,49,19,NA,NA
6,NCR,NA,26,318,10,0,NA,NA
7,NER,NA,41,259,35,13,NA,NA
8,NFR,NA,42,299,33,2,NA,NA
9,NWR,NA,36,187,16,3,NA,NA
10,SR,NA,81,694,13,6,NA,NA
11,SCR,NA,59,797,17,1,NA,NA
12,SER,NA,106,1296,78,14,NA,NA
13,SECR,NA,18,149,11,7,NA,NA
14,SWR,NA,38,239,5,7,NA,NA
15,WR,NA,92,426,48,5,NA,NA
16,WCR,NA,20,38,6,0,NA,NA
17,RPSF,NA,60,661,258,5,NA,NA
Total,Total,NA,1121,8543,796,93,NA,NA
