"Minimum Qualification","Sum of Total No. of Vacancies","Data Upto"
"10th Pass",1024461,2022-06-30T10:31:04Z
11th,1285,2022-06-30T10:31:04Z
"12th Pass",2103107,2022-06-30T10:31:04Z
"Diploma After 10th",359637,2022-06-30T10:31:04Z
"Diploma After 12th",548025,2022-06-30T10:31:04Z
Graduate,4213675,2022-06-30T10:31:04Z
ITI,95895,2022-06-30T10:31:04Z
"No Schooling",696079,2022-06-30T10:31:04Z
NotSpecified,196856,2022-06-30T10:31:04Z
"PG Diploma",3940,2022-06-30T10:31:04Z
"PHD / Super Specialist",31699,2022-06-30T10:31:04Z
"Post Graduate",498350,2022-06-30T10:31:04Z
"Upto 8th",136721,2022-06-30T10:31:04Z
"Upto 9th",140129,2022-06-30T10:31:04Z
"Grand Total",10049859,2022-06-30T10:31:04Z
