Primary_Occupation,Registration_Count,Last_Updated
AGRICULTURE,148139610,2022-09-25T08:51:16Z
APPAREL,17721152,2022-09-25T08:51:16Z
"AUTOMOBILE & TRANSPORTATION",7902231,2022-09-25T08:51:16Z
"BEAUTY & WELLNESS",1873374,2022-09-25T08:51:16Z
BFSI,40429,2022-09-25T08:51:16Z
"CAPITAL GOODS & MANUFACTURING",6676362,2022-09-25T08:51:16Z
CONSTRUCTION,25733008,2022-09-25T08:51:16Z
"DOMESTIC AND HOUSEHOLD WORKERS",27788611,2022-09-25T08:51:16Z
EDUCATION,4826079,2022-09-25T08:51:16Z
"ELECTRONICS & HW",4690155,2022-09-25T08:51:16Z
"FOOD INDUSTRY",941348,2022-09-25T08:51:16Z
"GEM & JEWELLERY",632167,2022-09-25T08:51:16Z
"GLASS & CERAMICS",58023,2022-09-25T08:51:16Z
"HANDICRAFTS & CARPETS",2137626,2022-09-25T08:51:16Z
HEALTHCARE,3062345,2022-09-25T08:51:16Z
"LEATHER INDUSTRY WORKS",5494785,2022-09-25T08:51:16Z
MINING,427782,2022-09-25T08:51:16Z
MISCELLANEOUS,12026682,2022-09-25T08:51:16Z
"MUSICAL INSTRUMENTS",93584,2022-09-25T08:51:16Z
"OFFICE ADMINISTRATION & FACILITY MANAGEMENT",2159951,2022-09-25T08:51:16Z
"ORGANISED RETAIL",80948,2022-09-25T08:51:16Z
OTHERS,5,2022-09-25T08:51:16Z
PRINTING,456684,2022-09-25T08:51:16Z
"PRIVATE SECURITY",413074,2022-09-25T08:51:16Z
PROFESSIONALS,746852,2022-09-25T08:51:16Z
RETAIL,2218466,2022-09-25T08:51:16Z
SERVICE,260099,2022-09-25T08:51:16Z
"TEXTILE & HANDLOOM",190328,2022-09-25T08:51:16Z
"TOBACCO INDUSTRY",2100068,2022-09-25T08:51:16Z
"TOURISM & HOSPITALITY",3781780,2022-09-25T08:51:16Z
"WOOD & CARPENTRY",173251,2022-09-25T08:51:16Z
