"Minimum Qualification","Total jobseeker Registration","Data Upto"
"No Schooling",1015600,2022-06-30T10:30:01Z
"Upto 8th",147431,2022-06-30T10:30:01Z
"Upto 9th",1891074,2022-06-30T10:30:01Z
"10th Pass",6953906,2022-06-30T10:30:01Z
11th,130363,2022-06-30T10:30:01Z
"12th Pass",5224991,2022-06-30T10:30:01Z
ITI,245668,2022-06-30T10:30:01Z
"Diploma After 10th",553322,2022-06-30T10:30:01Z
"Diploma After 12th",421248,2022-06-30T10:30:01Z
Graduate,5686473,2022-06-30T10:30:01Z
"PG Diploma",28605,2022-06-30T10:30:01Z
"PHD / Super Specialist",101263,2022-06-30T10:30:01Z
"Post Graduate",1178635,2022-06-30T10:30:01Z
