"Name of the National Career Service Centre  for SC/ST",State/UT,"Registration of male candidates on NCS portal","Registration of female candidates on NCS portal","Registration of transgender  candidates on NCS portal","Individual Guidance / Career Information provided to male candidates","Individual Guidance / Career Information provided to female candidates","Individual Guidance / Career Information provided to transgender candidates","No. of  male candidates provided Group Guidance","No. of female candidates provided Group Guidance ","No. of Transgendercandidates provided Group Guidance ","No. of confidance Building Programme Organized","No. of male candidates Attended Confidence Building Programme","No. of female candidates Attended Confidence Building Programme","No. of Transgender candidates Attended Confidence Building Programme","No. of Career Talks Arranged (In house/outside)","No. of male Candidates Attended Career Talks","No. of female Candidates Attended Career Talks","No. of transgender Candidates Attended Career Talks","No. of Pre-recruitment Programmes Organized","No. of male candidates Attendedn for Pre-Recruitment Training Programme","No. of female candidates Attendedn for Pre-Recruitment Training Programme","No. of Transgender candidates Attendedn for Pre-Recruitment Training Programme","No. of  male candidates attended Training under Shorthand and Typewriting Scheme (Fresher/Referesher)","No. of female candidates attended Training under Shorthand and Typewriting Scheme (Fresher/Referesher)","No. of transgender candidates attended Training under Shorthand and Typewriting Scheme (Fresher/Referesher)","No. of Placement effected (Educational) by male candidates","No. of Placement effected (Educational) by female candidates","No. of Placement effected (Educational) by transgender candidates","No. of Placement effected (Training)by  male candidates","No. of Placement effected (Training) by female candidates","No. of Placement effected (Training) by transgender candidates","No. of Placement effected (Wage Paid)by  male candidates","No. of Placement effected (Wage Paid)  by female candidates","No. of Placement effected (Wage Paid)  by transgender candidates","No. of Placement effected (Self -Employment) by male candidates","No. of Placement effected (Self -Employment) by female candidates","No. of Placement effected (Self -Employment) by transgender candidates","No. of Job Fair organized /Participated","No. of Employers participated","No. of male  candidates attended Job Fair","No. of female  candidates attended Job Fair","No. of transgender  candidates attended Job Fair","No. of male candidates given offer of Appoint","No. of female candidates given offer of Appoint","No. of transgender candidates given offer of Appoint"
Aizwal,Mizoram,208,247,0,380,369,0,316,323,0,11,72,82,0,22,275,233,0,0,0,0,0,0,0,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangalore,Karnataka,396,270,0,541,731,0,393,350,0,47,344,302,0,50,722,648,0,5,45,63,0,162,76,0,12,16,0,2,0,0,6,3,0,0,0,0,6,50,536,280,0,109,59,0
Bhubaneshwar,Odisha,519,284,0,493,233,0,600,258,0,43,568,230,0,46,779,330,0,8,130,49,0,0,12,0,0,0,0,0,0,0,0,0,0,12,4,0,4,27,436,163,0,61,11,0
Chennai,Tamilnadu,536,584,0,547,641,0,616,832,0,36,481,577,0,33,517,683,0,12,89,159,0,75,61,0,0,0,0,2,3,0,0,0,0,0,5,0,5,60,527,801,0,176,343,0
Delhi,Delhi,532,408,0,1331,1344,0,562,599,0,38,463,437,0,35,500,571,0,3,65,61,0,547,826,0,0,0,0,35,45,0,0,0,0,0,0,0,5,31,1003,464,0,48,22,0
Guwahati,Assam,190,286,0,397,386,0,430,527,0,31,163,208,0,34,393,490,0,9,50,41,0,58,70,0,2,1,0,0,0,0,27,22,0,0,0,0,4,17,166,119,0,10,4,0
Hisar,Haryana,657,356,0,377,531,0,1244,1193,0,44,679,635,0,52,1367,1246,0,5,122,103,0,111,70,0,0,0,0,164,118,0,19,0,0,29,64,0,8,31,1347,133,0,560,49,0
Hyderabad,Telangana,592,470,0,663,510,0,740,511,0,27,326,254,0,27,595,430,0,7,81,59,0,247,226,0,109,81,0,3,3,0,5,6,0,8,2,0,6,40,222,157,0,20,18,0
Imphal,Manipur,275,198,0,404,319,0,479,305,0,32,226,197,0,43,366,277,0,15,96,87,0,316,260,0,56,37,0,0,0,0,1,1,0,17,11,0,7,15,207,207,0,3,1,0
Jabalpur,"Madhya Pradesh",482,418,0,479,428,0,641,694,0,49,887,833,0,43,1007,901,0,5,63,125,0,393,300,0,18,15,0,0,0,0,15,13,0,4,0,0,16,96,1353,933,0,450,275,0
