LG_State_Code,State_Name,Registration_count,Last_Updated
35,"ANDAMAN AND NICOBAR ISLANDS",28171,2022-09-25T08:51:56Z
28,"ANDHRA PRADESH",7645071,2022-09-25T08:51:56Z
12,"ARUNACHAL PRADESH",136940,2022-09-25T08:51:56Z
18,ASSAM,6767914,2022-09-25T08:51:56Z
10,BIHAR,28460419,2022-09-25T08:51:56Z
4,CHANDIGARH,173142,2022-09-25T08:51:56Z
22,CHHATTISGARH,8201387,2022-09-25T08:51:56Z
7,DELHI,3238779,2022-09-25T08:51:56Z
30,GOA,40185,2022-09-25T08:51:56Z
24,GUJARAT,9011962,2022-09-25T08:51:56Z
6,HARYANA,5231533,2022-09-25T08:51:56Z
2,"HIMACHAL PRADESH",1918127,2022-09-25T08:51:56Z
1,"JAMMU AND KASHMIR",3329665,2022-09-25T08:51:56Z
20,JHARKHAND,9055948,2022-09-25T08:51:56Z
29,KARNATAKA,7064670,2022-09-25T08:51:56Z
32,KERALA,5892675,2022-09-25T08:51:56Z
37,LADAKH,26215,2022-09-25T08:51:56Z
31,LAKSHADWEEP,1735,2022-09-25T08:51:56Z
23,"MADHYA PRADESH",16604199,2022-09-25T08:51:56Z
27,MAHARASHTRA,13145355,2022-09-25T08:51:56Z
14,MANIPUR,401920,2022-09-25T08:51:56Z
17,MEGHALAYA,243335,2022-09-25T08:51:56Z
15,MIZORAM,54074,2022-09-25T08:51:56Z
13,NAGALAND,217063,2022-09-25T08:51:56Z
21,ODISHA,13295139,2022-09-25T08:51:56Z
34,PONDICHERRY,175999,2022-09-25T08:51:56Z
3,PUNJAB,5485245,2022-09-25T08:51:56Z
8,RAJASTHAN,12641568,2022-09-25T08:51:56Z
11,SIKKIM,17902,2022-09-25T08:51:56Z
33,"TAMIL NADU",8074980,2022-09-25T08:51:56Z
36,TELANGANA,3883501,2022-09-25T08:51:56Z
38,"THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU",72652,2022-09-25T08:51:56Z
16,TRIPURA,837962,2022-09-25T08:51:56Z
9,"UTTAR PRADESH",82945532,2022-09-25T08:51:56Z
5,UTTARAKHAND,2966903,2022-09-25T08:51:56Z
19,"WEST BENGAL",25636621,2022-09-25T08:51:56Z
