LG_State_Code,State_Name,Registration_count,Last_Updated
35,"ANDAMAN AND NICOBAR ISLANDS",27809,2022-07-05T08:53:04Z
28,"ANDHRA PRADESH",6940208,2022-07-05T08:53:04Z
12,"ARUNACHAL PRADESH",123480,2022-07-05T08:53:04Z
18,ASSAM,6681554,2022-07-05T08:53:04Z
10,BIHAR,28348213,2022-07-05T08:53:04Z
4,CHANDIGARH,172548,2022-07-05T08:53:04Z
22,CHHATTISGARH,8145533,2022-07-05T08:53:04Z
7,DELHI,3227672,2022-07-05T08:53:04Z
30,GOA,35262,2022-07-05T08:53:04Z
24,GUJARAT,8641726,2022-07-05T08:53:04Z
6,HARYANA,5215722,2022-07-05T08:53:04Z
2,"HIMACHAL PRADESH",1908602,2022-07-05T08:53:04Z
1,"JAMMU AND KASHMIR",3301566,2022-07-05T08:53:04Z
20,JHARKHAND,9003646,2022-07-05T08:53:04Z
29,KARNATAKA,6826141,2022-07-05T08:53:04Z
32,KERALA,5876288,2022-07-05T08:53:04Z
37,LADAKH,25479,2022-07-05T08:53:04Z
31,LAKSHADWEEP,1214,2022-07-05T08:53:04Z
23,"MADHYA PRADESH",16292442,2022-07-05T08:53:04Z
27,MAHARASHTRA,12724902,2022-07-05T08:53:04Z
14,MANIPUR,393564,2022-07-05T08:53:04Z
17,MEGHALAYA,222767,2022-07-05T08:53:04Z
15,MIZORAM,37086,2022-07-05T08:53:04Z
13,NAGALAND,215133,2022-07-05T08:53:04Z
0,"NOT PROVIDED",44,2022-07-05T08:53:04Z
21,ODISHA,13275496,2022-07-05T08:53:04Z
34,PONDICHERRY,175475,2022-07-05T08:53:04Z
3,PUNJAB,5460904,2022-07-05T08:53:04Z
8,RAJASTHAN,12495538,2022-07-05T08:53:04Z
11,SIKKIM,16036,2022-07-05T08:53:04Z
33,"TAMIL NADU",7561889,2022-07-05T08:53:04Z
36,TELANGANA,3754572,2022-07-05T08:53:04Z
38,"THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU",72479,2022-07-05T08:53:04Z
16,TRIPURA,832099,2022-07-05T08:53:04Z
9,"UTTAR PRADESH",82888299,2022-07-05T08:53:04Z
5,UTTARAKHAND,2960559,2022-07-05T08:53:04Z
19,"WEST BENGAL",25559842,2022-07-05T08:53:04Z
