LG_State_Code,State_Name,Registration_count,Last_Updated
1,"JAMMU AND KASHMIR",3378579,2023-02-23T09:15:57Z
2,"HIMACHAL PRADESH",1923672,2023-02-23T09:15:57Z
3,PUNJAB,5496777,2023-02-23T09:15:57Z
4,CHANDIGARH,174112,2023-02-23T09:15:57Z
5,UTTARAKHAND,2972426,2023-02-23T09:15:57Z
6,HARYANA,5256673,2023-02-23T09:15:57Z
7,DELHI,3252212,2023-02-23T09:15:57Z
8,RAJASTHAN,12807531,2023-02-23T09:15:57Z
9,"UTTAR PRADESH",83016088,2023-02-23T09:15:57Z
10,BIHAR,28567740,2023-02-23T09:15:57Z
11,SIKKIM,24436,2023-02-23T09:15:57Z
12,"ARUNACHAL PRADESH",140631,2023-02-23T09:15:57Z
13,NAGALAND,218681,2023-02-23T09:15:57Z
14,MANIPUR,405133,2023-02-23T09:15:57Z
15,MIZORAM,58273,2023-02-23T09:15:57Z
16,TRIPURA,844623,2023-02-23T09:15:57Z
17,MEGHALAYA,288838,2023-02-23T09:15:57Z
18,ASSAM,6933160,2023-02-23T09:15:57Z
19,"WEST BENGAL",25799359,2023-02-23T09:15:57Z
20,JHARKHAND,9146955,2023-02-23T09:15:57Z
21,ODISHA,13329013,2023-02-23T09:15:57Z
22,CHHATTISGARH,8261290,2023-02-23T09:15:57Z
23,"MADHYA PRADESH",16908003,2023-02-23T09:15:57Z
24,GUJARAT,9194538,2023-02-23T09:15:57Z
27,MAHARASHTRA,13483977,2023-02-23T09:15:57Z
28,"ANDHRA PRADESH",7931078,2023-02-23T09:15:57Z
29,KARNATAKA,7469830,2023-02-23T09:15:57Z
30,GOA,57350,2023-02-23T09:15:57Z
31,LAKSHADWEEP,2433,2023-02-23T09:15:57Z
32,KERALA,5904331,2023-02-23T09:15:57Z
33,"TAMIL NADU",8378398,2023-02-23T09:15:57Z
34,PONDICHERRY,176464,2023-02-23T09:15:57Z
35,"ANDAMAN AND NICOBAR ISLANDS",28497,2023-02-23T09:15:57Z
36,TELANGANA,4106653,2023-02-23T09:15:57Z
37,LADAKH,28901,2023-02-23T09:15:57Z
38,"THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU",72866,2023-02-23T09:15:57Z
