States,"Mobilised Vacancies","Data Upto"
"Andaman and Nicobar Islands",1592,2022-06-30T10:30:44Z
"Andhra Pradesh",115153,2022-06-30T10:30:44Z
"Arunachal Pradesh",4714,2022-06-30T10:30:44Z
Assam,39727,2022-06-30T10:30:44Z
Bihar,157727,2022-06-30T10:30:44Z
Chandigarh,80293,2022-06-30T10:30:44Z
Chhattisgarh,53198,2022-06-30T10:30:44Z
"Dadra and Nagar Haveli",131,2022-06-30T10:30:44Z
"Daman and Diu",621,2022-06-30T10:30:44Z
Delhi,279217,2022-06-30T10:30:44Z
Goa,21245,2022-06-30T10:30:44Z
Gujarat,244586,2022-06-30T10:30:44Z
Haryana,196127,2022-06-30T10:30:44Z
"Himachal Pradesh",31222,2022-06-30T10:30:44Z
"Jammu and Kashmir",38043,2022-06-30T10:30:44Z
Jharkhand,126733,2022-06-30T10:30:44Z
Karnataka,914759,2022-06-30T10:30:44Z
Kerala,79804,2022-06-30T10:30:44Z
Ladakh,42,2022-06-30T10:30:44Z
Lakshadweep,1367,2022-06-30T10:30:44Z
"Madhya Pradesh",116832,2022-06-30T10:30:44Z
Maharashtra,917244,2022-06-30T10:30:44Z
Manipur,2096,2022-06-30T10:30:44Z
Meghalaya,1011,2022-06-30T10:30:44Z
Mizoram,694,2022-06-30T10:30:44Z
"Multiple States",1251259,2022-06-30T10:30:44Z
Nagaland,992,2022-06-30T10:30:44Z
Odisha,75383,2022-06-30T10:30:44Z
Puducherry,4835,2022-06-30T10:30:44Z
Punjab,89815,2022-06-30T10:30:44Z
Rajasthan,189270,2022-06-30T10:30:44Z
Sikkim,1619,2022-06-30T10:30:44Z
"Tamil Nadu",664304,2022-06-30T10:30:44Z
Telangana,414600,2022-06-30T10:30:44Z
Tripura,8999,2022-06-30T10:30:44Z
"Uttar Pradesh",732185,2022-06-30T10:30:44Z
Uttarakhand,124790,2022-06-30T10:30:44Z
"West Bengal",701413,2022-06-30T10:30:44Z
"Pan India",2366217,2022-06-30T10:30:44Z
"Grand Total",10049859,2022-06-30T10:30:44Z
