States,Female,Male,Transgender,"Grand Total","Data Upto"
"Andaman and Nicobar Islands",22891,25517,2,48410,2022-06-30T10:29:37Z
"Andhra Pradesh",225883,326213,157,552253,2022-06-30T10:29:37Z
"Arunachal Pradesh",30765,21926,7,52698,2022-06-30T10:29:37Z
Assam,509206,640525,193,1149924,2022-06-30T10:29:37Z
Bihar,462015,1352609,359,1814983,2022-06-30T10:29:37Z
Chandigarh,18790,20762,13,39565,2022-06-30T10:29:37Z
Chhattisgarh,109723,154272,93,264088,2022-06-30T10:29:37Z
"Dadra and Nagar Haveli",1287,1894,1,3182,2022-06-30T10:29:37Z
"Daman and Diu",616,856,NA,1472,2022-06-30T10:29:37Z
Delhi,146895,217232,79,364206,2022-06-30T10:29:37Z
Goa,43837,51732,5,95574,2022-06-30T10:29:37Z
Gujarat,181419,331928,141,513488,2022-06-30T10:29:37Z
Haryana,184187,200305,48,384540,2022-06-30T10:29:37Z
"Himachal Pradesh",210293,240034,27,450354,2022-06-30T10:29:37Z
"Jammu and Kashmir",105290,114231,35,219556,2022-06-30T10:29:37Z
Jharkhand,335092,657951,59,993102,2022-06-30T10:29:37Z
Karnataka,204445,289608,154,494207,2022-06-30T10:29:37Z
Kerala,141475,164649,101,306225,2022-06-30T10:29:37Z
Ladakh,2950,1489,NA,4439,2022-06-30T10:29:37Z
Lakshadweep,3310,2770,1,6081,2022-06-30T10:29:37Z
"Madhya Pradesh",525796,755108,163,1281067,2022-06-30T10:29:37Z
Maharashtra,1449676,3844796,890,5295362,2022-06-30T10:29:37Z
Manipur,37516,24971,16,62503,2022-06-30T10:29:37Z
Meghalaya,16687,11592,3,28282,2022-06-30T10:29:37Z
Mizoram,11170,6899,NA,18069,2022-06-30T10:29:37Z
Nagaland,17240,11194,2,28436,2022-06-30T10:29:37Z
Odisha,130255,238327,49,368631,2022-06-30T10:29:37Z
Puducherry,64710,61374,11,126095,2022-06-30T10:29:37Z
Punjab,292587,496644,69,789300,2022-06-30T10:29:37Z
Rajasthan,518673,916946,115,1435734,2022-06-30T10:29:37Z
Sikkim,4543,3862,1,8406,2022-06-30T10:29:37Z
"Tamil Nadu",414152,498903,230,913285,2022-06-30T10:29:37Z
Telangana,244902,342241,87,587230,2022-06-30T10:29:37Z
Tripura,138032,189271,43,327346,2022-06-30T10:29:37Z
"Uttar Pradesh",913315,1672468,754,2586537,2022-06-30T10:29:37Z
Uttarakhand,104725,132450,44,237219,2022-06-30T10:29:37Z
"West Bengal",1262270,1699878,1030,2963178,2022-06-30T10:29:37Z
"Grand Total",9086618,15723427,4982,24815027,2022-06-30T10:29:37Z
