SI No.,States/UTs,"Number of RSETIs (As on September, 2015)"
1,Andhra Pradesh,15
2,Arunachal Pradesh,1
3,Assam,22
4,Bihar,39
5,Chhattisgarh,18
6,Gujarat,28
7,Haryana,21
8,Himachal Pradesh,10
9,Jammu & Kashmir,21
10,Jharkhand,25
11,Karnataka,33
12,Kerala,14
13,Madhya Pradesh,51
14,Maharashtra,35
15,Manipur,1
16,Meghalaya,5
17,Mizoram,1
18,Nagaland,1
19,Odisha,30
20,Punjab,19
21,Rajasthan,34
22,Sikkim,1
23,Tamil Nadu,31
24,Telangana,9
25,Tripura,5
26,UT Andaman and Nicobar Islands,1
27,UT Dadra and Nagar Haveli,1
28,UT Lakshadweep,1
29,UT Puducherry,1
30,Uttar Pradesh,75
31,Uttarakhand,13
32,West Bengal,19
Total,Total,581
